"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burundi","BDI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.93","10.32","9.82","9.36","9.02","8.42","8.15","7.67","7.24","7.29","7.31","7.21","7.07","7.04","7.08","6.88","6.98","6.98","6.94","6.88","6.67","7.65","","","",
"Belgium","BEL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.07","22.25","20.96","21.44","20.32","20.66","20.29","18.74","20.24","20.56","20.53","21.21","20.9","19.62","19.42","18.61","19.22","18.4","18.58","18.11","16.89","18.36","","","",
"Benin","BEN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","6.62","6.85","6.77","6.79","6.76","6.75","6.77","7.01","7.24","7.37","7.44","7.42","7.34","7.29","7.39","7.32","7.26","7.21","7.23","6.89","7.12","","","",
"Burkina Faso","BFA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.04","9.13","8.85","8.77","8.69","8.57","8.57","8.47","8.57","8.65","8.69","8.55","8.95","9","8.86","8.84","8.83","8.76","8.64","8.45","8.3","8.5","","","",
"Bangladesh","BGD","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.81","4.67","4.57","4.39","4.12","4.23","4.3","4.1","3.94","3.91","3.72","3.29","3.12","3.02","3.01","2.97","2.98","3.09","3.06","3.08","2.81","2.81","","","",
"Bulgaria","BGR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.22","17.31","17.33","14.97","14.17","13.24","13.3","12.37","13.06","12.3","12.4","11.07","12.63","10.58","10.57","9.95","9.71","10.35","9.73","9.02","10.03","9.51","","","",
"Bahrain","BHR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.85","10.99","10.25","10.46","10.17","9.48","7.45","7.15","6.79","6","5.6","5.55","5.79","5.59","5.62","5.27","5.82","6","5.97","5.37","5.48","4.66","","","",
"Bahamas, The","BHS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.27","3.04","3.27","3.43","3.13","3.35","3.23","3.3","3.48","3.83","3.81","3.59","3.4","3.59","3.42","3.65","3.65","3.45","3.61","3.1","3.25","","","",
"Bosnia and Herzegovina","BIH","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.98","10.81","10.83","10.57","10.46","10.83","10.69","11.48","10.78","10.73","10.47","10.53","10.26","10.53","10.4","10.63","10.52","10.51","10.4","10.91","9.77","8.97","","","",
"Belarus","BLR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","39.31","40.32","40.29","40.37","40.52","37.48","34.05","36.29","36.37","34.16","34.48","28.49","25.51","23.61","21.92","20.88","18.95","18.67","17.52","16.27","15.61","","","",
"Belize","BLZ","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.64","5.53","5.32","5.53","6.19","4.92","5.01","4.59","4.61","5.87","6.45","6.75","6.46","6.26","5.84","5.71","5.45","6.25","5.58","5.02","3.7","4.18","","","",
"Bermuda","BMU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.54","6.47","6.48","6.41","6.37","6.33","6.1","6.12","6","5.94","5.76","5.68","5.43","5.41","5.49","5.59","5.58","5.54","5.41","5.35","4.79","4.2","","","",
"Brazil","BRA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23","4.7","4.65","4.65","4.74","4.99","4.97","5.18","5.41","5.42","5.25","5.48","5.64","5.79","5.85","6.11","6.25","6.89","6.68","6.71","6.93","7.59","","","",
"Barbados","BRB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","4.72","4.36","4.92","5.1","5.12","4.9","4.39","4.58","4.32","4.37","4.29","3.91","4.13","4.29","4.05","4.45","3.9","4.14","4.8","4.14","3.5","","","",
"Brunei Darussalam","BRN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53","1.1","1.33","1.36","1.69","1.8","2.33","1.99","1.64","1.32","1.05","1.42","1.61","1.31","1.32","1.37","2.04","2.48","2.72","2.49","2.93","3.05","","","",
"Bhutan","BTN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","5.76","5.63","5.93","5.88","5.83","5.79","5.65","5.56","5.39","5.15","5.1","5.18","5.33","5.44","5.3","5.24","5.34","5.02","4.84","5.08","4.9","","","",
"Botswana","BWA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.08","11.76","12.05","11.16","9.93","9.38","9.07","11.48","15.11","16.68","16.46","15.37","15.03","14.1","12.81","11.06","11.01","10.76","9.82","8.99","8.91","8.35","","","",
"Central African Republic","CAF","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.61","12.02","12.2","11.32","11.43","10.75","11.3","11.02","10.44","10.66","10.24","11.45","9.99","10.46","11.23","10.47","10.44","11.07","10.33","9.45","9.73","9.19","","","",
"Canada","CAN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.45","12.78","12.45","13.09","12.39","12.87","11.86","12.18","12.34","12.83","12.89","12.02","12.6","12.86","13.38","13.43","11.49","11.82","12.56","12.69","11.64","9.44","","","",
"Central Europe and the Baltics","CEB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6103407261542","18.9196715285479","19.1601788163288","18.7787327029715","18.4586801851293","18.0774070156091","17.369938397493","16.3040833137437","17.0283039148927","18.0245537456772","17.8541457223821","17.2892194774095","17.756407114808","17.0625008093555","16.1943586753152","15.3333051514284","13.8994815788752","13.5933061032045","13.5604194872904","13.0116756272174","13.4239411966889","13.1235789521502","","","",
"Switzerland","CHE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.35","19.71","21.07","18.7","18.55","18.97","18.85","19.47","18.64","15.91","14.49","14.66","14.75","15.1","14.78","15.05","14.16","14.4","14.25","14.23","13.69","14.02","","","",
"Channel Islands","CHI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.64","10.6","9.84","9.84","10.26","9.76","10.12","11.04","12.3","12.76","11.72","11.79","10.62","9.95","10.13","10.32","10.3","10.06","9.52","9.77","8.26","7.69","","","",
"China","CHN","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.49","15.14","14.93","15.02","15.01","14.23","13.02","12.18","11.61","11.1","10.58","9.97","9.41","9.07","8.86","8.69","8.65","8.62","8.7","8.75","8.82","8.95","","","",
"Cote d'Ivoire","CIV","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","5.84","5.71","5.65","5.15","5.18","5.29","5.48","5.81","6.68","7.93","8.5","8.79","8.92","8.6","8.06","7.82","7.68","7.71","7.75","7.3","7.39","","","",
"Cameroon","CMR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.29","7.89","7.79","7.87","7.71","7.87","7.87","7.95","8.02","8.04","8.12","8.18","8.32","8.51","8.64","8.45","8.35","8.2","8.14","8.22","7.91","8.5","","","",
"Congo, Dem. Rep.","COD","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.76","7.8","7.87","8.06","8.03","7.99","7.94","8.12","8.21","8.04","8.08","8.08","8.08","8.13","8.19","8.2","8.37","8.6","8.68","8.33","8.15","8.77","","","",
