"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Austria","AUT","Refugee population by country or territory of asylum","SM.POP.REFG","1209000","1054000","930000","837000","775000","775000","759500","744000","744000","775000","784300","775000","775000","775000","775000","620000","775000","620000","620000","775000","481275","554869","1083853","1156238","1212069","1256554","1276456","1278068","1234730","1221555","3563676","3519816","6360210","5884074","4314506","3851190","9980936","9452144","8993414","9192991","1735163","1611255","1582192","1803802","1956912","2292162","2701231","3169460","3830473","3851353","4091953","4141866","4344607","4224735","4443075","4621266","5314254","5300767","5279839","4486391","3403884","2745252","3361969","1804677","","",
"Azerbaijan","AZE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25092000","23341680","24553330","26172452","26173563","26176061","24823021","24823807","31985","41118","51313","36354","946574","324416","277467","242273","210191","162589","181629","152147","123281","104787","96095","81823","67891","51445","46340","36595","37788","30168","83382","40397","","",
"Burundi","BDI","Refugee population by country or territory of asylum","SM.POP.REFG","","930000","930000","1054000","2418000","2015000","2449000","2449000","2238200","1432200","1202800","1021450","1345090","1519000","1503500","1534500","1534500","1550000","1560540","1565190","7271360","7272290","7848270","7868420","8488110","8290640","8292500","8292500","8292500","8291105","27377106","27553872","27717990","27732066","31832004","19377811","2321989","2466997","2810407","2476112","3039003","3124345","4539527","4588835","5368817","2233562","1396690","2521735","2151455","2471671","2819009","3137961","3512230","3457147","3917109","3415015","3275439","2868238","2931601","2589361","1811154","1466838","1100268","596603","","",
"Belgium","BEL","Refugee population by country or territory of asylum","SM.POP.REFG","1705000","1643000","1581000","1550000","1457000","1457000","1240000","1054000","1023000","930000","976500","899000","899000","620000","344100","520428","527000","527000","527000","992000","1023000","1085000","651000","1085000","1128400","1134600","1112900","682000","716627","791461","2642922","2455242","2477784","2540616","2066694","3549426","4038880","4038880","1736726","1902821","2108711","1373427","1408270","1410298","1487857","1650373","1782561","1810343","1736621","1538676","1717601","1971190","1849985","1947508","2158967","2259724","2402826","1938818","1728578","2034876","1559712","1333134","1963439","1174817","","",
"Benin","BEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","34100","","","","","","","","","","","","","","1550","24800","114700","115940","94550","36456","26598","46512","46512","29886","15936520","7462959","2670238","667711","326624","324963","409607","480990","537339","562049","563602","528150","3271590","1144122","784632","706980","713264","685251","634972","416958","14620","30679","33796","45848","48501","47917","40866","33534","31248","23127","19775","","",
"Burkina Faso","BFA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","2170","3100","2790","6820","8370","8060","11160","35700","32640","578340","673391","5298940","3335122","3178746","201644","63242","75617","77852","51362","51362","52336","54214","55206","54153","55070","56783","53757","50945","48141","3301642","2221753","2360156","2177088","1855367","1110917","1029940","853675","486048","450180","446875","264145","","",
"Bangladesh","BGD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","5084000","","","","","","","","","","","","14790","4106520","25005708","20293184","12320145","5725117","3437470","2419518","2495060","2487449","2421998","2483354","2466679","2216701","2249225","2278623","2788829","2839984","2895523","22630045","22008381","20210872","19378517","17566927","15202804","14845188","15743576","42881614","37172290","28207713","20796816","16540326","12380992","6803888","","",
"Bulgaria","BGR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22236","45683","112174","147698","160071","43472","26751","66884","165060","335804","409372","455097","515056","475777","476633","497204","522507","533349","530539","500172","191727","327855","816784","1059214","1014338","881261","816266","674480","507042","410940","2291861","683326","","",
"Bahrain","BHR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","1860","","","","","","","","","","","24800","","73160","1550","4650","181560","","","","","","","","","75","75","75","0","0","","","71","0","4896","13761","15840","17512","24276","22344","22983","15777","15405","11730","10752","8291","6144","4608","3315","1778","","",
"Bahamas, The","BHS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38148","6018","","868","5157","6818","8978","11138","11138","","","","","","","","","","2657","2433","3077","1109","931","481","573","368","584","334","420","180","130","","","",
