"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569832.325","2625698.328","3351955.414","3910614.491","1340782.12290503","1620111.73184357","1843575.41899441","1620111.73184358","608938.547486034","1083798.88268156","1335195.53072626","1329608.93854749","273743.016759777","1458100.55865922","819846.096273241","1036166.00246323","5195530.72625698","6759776.53631284","9050279.32960893","4972067.03910614","5307262.56983239","4860335.19553072","58146742.3052803","58627995.0761845","53640100.5182243","52684335.9800862","56140485.0473226","36920295.448098","34264018.270972","34984040.4172565","35845637.1605111","38279493.4539564","38964260.6098554","38127639.7705078",
"Africa Eastern and Southern","AFE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","22659994.129","22638212.209","30732321.74","28418270.11","48835701.251","222109242.720739","248793852.6014","357418043.2027","411297570.0943","555940080.136955","878786379.366747","1071196790.14716","1321885468.73806","1532407268.89389","1361742075.69333","1093022947.74146","989016132.36497","1416188048.26552","1462145055.12959","1737838422.78678","1651896839.82535","1626667942.35962","1816978652.42244","1616569779.53017","1920518109.84645","2018399025.2664","1729240917.21705","2375641194.21369","2519054550.15132","2697573266.34114","2604068623.33186","1998851126.77586","2342595416.42209","2880425018.77975","3711097135.80359","3400278043.75367","3885941885.74893","4637984122.54291","5637712569.23838","6529049381.66971","7855160215.3759","9436898043.35454","9539966159.23926","9473548366.03546","10621850787.4448","10968559373.2548","10183824116.2945","12129350196.7832","14776743126.5514","14120160421.0996","13617242255.9656","17234627608.9137","20824143470.809","22513893000.9723","21938896059.5464",
"Afghanistan","AFG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89540435.95","140695166.3","378206657.0181","179116561.3764","219416087.481463","347165291.814146","253367821.603343","348624717.302647","627710802.377386","822731630.245558","803546453.786557","828571904.111179","788917115.24523","320000000","320000000","320000000","320000000",
"Africa Western and Central","AFW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","60248103.621","139998419.4905","170825509.34","245958070.792796","305453695.325976","380800574.373617","518917396.006397","463998938.087109","364134025.475593","359196532.097039","311697347.224401","409886754.140209","552424634.557576","579776508.040475","634503545.906633","637025980.609591","711095246.729455","744048879.499604","875127137.257942","1524387332.41443","1198252979.46882","1033892975.77836","1087241699.12112","1278708492.84991","1186080345.45208","2081216505.88553","2197264227.37598","2085343579.15916","2286595770.44209","2635146673.88301","4102042871.08094","16722662965.1599","19409694975.2072","21099158358.1649","22797325933.2786","21884173259.2057","23801903316.9751","27623774681.5467","27691377000.3324","28076823908.1599","29072581838.8663","31217369941.6298","28410241355.3603","31583258329.7582","34545672761.381","34959642343.1823","29209765219.7977","30476120499.2482","32646202164.9741","33530973697.9467","35703737107.1337",
"Angola","AGO","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5142000","","","","","","","","","","","","82084000","162358.5","17972037","204751.1","40348853.98948","36637411.3401682","30971119.270778","11114711.6","3988048.38","1418195.84","1579247.15","3445473.467593","8053050.89441933","12631149.3197743","14005491.4763133","12066567.165122","51039356.3395039",
"Albania","ALB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151800000","332000000","307100000","427300000","550900000","300300000","504140000","407200000","597800000","699300000","733570000","888748582.309638","1160672105.01954","1289704315.92613","1359467324.66363","1468020000","1865581563.70359","1717698012.16513","1586574271.35641","1552078514.34036","1419772515.43026","1281848113.75307","1421007454.36594","1290863508.09402","1306009166.92504","1311822432.138","1458210055.85311","1472812241.61037","1465987212.49096","1718355918.32179","1745245135.76651","2036169283.29038","2274440593.60033",
"Andorra","AND","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21112646.497417","47416323.7388305","53001417.7730524","44577777.0540163","48274852.4910444","52335881.1937913",
"Arab World","ARB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","211000000","238000000","247719978.33","269739208.22","276823417.66","966117778.4155","1355695710.451","2637034422.268","4405529374.2231","5563872498.035","6403246145.362","5907729369.142","5862270293.564","7173076350.713","7371483942.2029","6449093710.8198","6277412014.418","7601042249.332","7479027555.62","6950298994.67","9699913088.511","9774454435.2","12849686881.67","11791714150.847","10391224182.095","10655741100.1554","10697809478.2324","11492129404.3258","11922113928.7621","11621826045.419","11476946812.593","12851715141.7269","15829429504.1508","20315498457.1518","23393335357.452","22640992844.8193","24459749069.3236","29515131560.3516","33884270767.9804","31754690364.7879","37780646734.5291","38944864662.4978","45933616316.8183","47228856824.5071","53122149553.0829","49328023741.0255","48657414274.7084","56572893166.1304","57465931043.8832","59848670650.7278","62658909299.3162","72228402147.7617","69817078287.413","62318087671.3019","69311183963.4593",
"United Arab Emirates","ARE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1878829135.4663","1797140912.18516",
"Argentina","ARG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","26000000","42000000","56000000","42000000","28000000","28000000","32000000","27000000","32000000","34000000","30280000.69","26559999.47","22840000.15","19120000.84","15399999.62","57700000.76","62400001.53","63600000","65000000","65700000","68500000","64300000","86343658.5898822","189600000","206630000","273420000","311780000","432090000","540635441.916292","606498926.517186","705144403.358363","628542376.088907","644300740.057192","697379575.129916","577532962.100773","535004409.367288","505346891.730356","494433532.139966","391579047.663514","479937459.80843","522441503.008565","561398444.719757","648090050.021814","902789422.017933","1056459895.66862","1008986442.5663","1044365105.03816",
"Armenia","ARM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71350000","153730000","228986400","166647970","182652132","182160000","209240000","263890000","335860000","787519510.008093","915231161.780941","1169173062.59984","1644375090.62217","1904067122.60079","1439809231.68406","1669336819.11365","1798624692.26173","1914983996.61626","2192193826.94676","2078618314.80088","1491475903.47047","1382330886.59827","1538655751.77642","1487814907.95282","1527937456.87278","1327006085.34023","1556822543.94877","2120890540.66831","1546986451.59214","1278216269.14741",
"American Samoa","ASM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","11185185.43","11744444.85","12337037.09","13196296.69","12533333.78","3048148.155","2714814.901","11629630.09","11948147.77","3333333.254","8940740.74074074","9537037.03703704","18755555.5555555","18394444.4444444","17342962.962963","23676666.6666667","14242166.6666667","16372237.0370371","17601625.9259259","29018120.692389","29202071.8774933","30352179.8027457","29719238.8318998","27817357.2998099","28924211.803462","29296532.4395495","29845308.1734269","29967174.278059","31849221.5677609","31244412.2632377","26705675.6457207","24020044.3490541","32768265.3234985","36875282.2222222","36220490.7407407","45265850.3703703","34810853.7037037","34879798.5185185","26278875.5555555",
"Australia","AUS","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","180320037.8","176046508.8","228958923.3","280555023.2","308759124.8","286614196.8","305269104","326544830.3","415642852.8","495797180.2","631592773.4","740711547.9","771140441.9","900273193.4","956123474.1","1009029114","1053348999","1396266846","1884704224","2402261230","2369583740","2484919434","1926091797","1101867798","1276966675","438888326.43968","517894423.709037","538747822.17049","501585257.221363","531812423.752442","518334052.870813","486744685.823923","465722533.977934","651572145.062106","824729101.175224","940407766.641077","1014841490.87417","1341851616.34835","1526025147.32749","1334648952.60383","1864472761.35168","2449287569.0519","2440634974.57651","2461137536.76135","2329656676.96023","2174651380.40477","2056844753.41069","2001928453.24729","1867930551.38816","1762645594.80964","1197283915.03099","936423063.167016","1302381511.70374","1717245769.40669","1893434964.20227",
"Austria","AUT","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","16576923.37","24760213.85","36248191.83","52594650.27","80947891.24","87247398.38","105288040.2","118988021.9","154029663.1","198398651.1","244725067.1","223906967.2","220660125.7","214508590.7","197660034.2","201390884.4","303058471.7","400337341.3","448963897.7","469524231","634832336.4","772377197.3","815280883.8","768971069.3","844941223.1","1012422485","984293640.1","915090698.2","1416633179","1809788330","1804517334","1774000488","1985329834","2496145508","2520989014","2313507128.00775","2517171820.75859","2915622151.61597","3189808742.62739","3101681748.75587","2983488445.59883","3250804925.70344","3028188698.98571","3248309532.62514","3239901778.63492","2863606817.40519","2887576591.28187","2956934245.82415","3022591419.43223","2996058679.89714","3026771045.59774","3191616713.05916","3010700898.17371","3262189742.06596","3482501340.47625",
"Azerbaijan","AZE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","4098000.05","5196000.099","6294000","54492000","57132000","104125000","163317000","155957000","203578000","623235000","790214000","1267735000","1518327000","1254645000","1410296000","1893080000","1990180000","1733168000","1846424000","1269964000","643148000","1133371000","1225790000","1275168754.82216","1403087000","1526636000","3950029000","1912814000","1351678000",
"Burundi","BDI","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41783.9949132528","71562.161614913","11470.9717731824","189948.940546265","3645216.67747847","28232147.7562549","34498929.5130741","45463176.8704966","46433649.08889","48639473.8999705","56258772.8836516","51121568.1242023","34618778.9378373","33804551.091424","48288230.3379845","91647988.9701859","145324419.160263","167995272.279754","163435294.081086","195684413.726618","236886516.426757",
"Belgium","BEL","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","662297424.3","658915466.3","754823120.1","956470520","1041822876","1139075073","948875671.4","837334533.7","848768920.9","780039001.5","817282897.9","1098416260","1275191284","1430124512","2736618164","3583137695","3972553223","4475618164","4580757324","4612880859","4936722168","4947035645","4328916992","4204201172","4466878906","4004603516","3933338623","4534638939.10999","5778136096.27102","6562530149.38673","6884305723.77045","7268884910.03938","8991846090.58459","10479068216.8072","11090651436.729","10993669270.2741","11728548904.613","11171452382.4131","11695085497.9928","12161003266.0421","10464912315.3812","10786360682.2729","11435497317.0789","12448569091.0714","12429684501.1091","13112247336.0383","14286079087.3737","14037046625.1082","14641877709.6814","15480994451.5335",
