"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.0204397874852","49.0348883356785","49.0343920048369","49.0132101095257","48.9873573094391","48.9757135136078","48.960174690652","48.9611329336366","48.9542114188807","48.935880409984","48.9046893516167","48.8543454123347","48.8061621748066","48.7266750780264","48.6774497331769","48.6455740029347","48.6498531013766","48.6648113176291","48.6988785730924","48.7277396118189","48.7395377473085","48.7392876603755","48.7210837775713","48.6956102422323","48.7123165568395","48.7465092663113","48.8291164498364","48.9407807497008","49.0764998690071","49.2176363606574","49.3290642296306","49.4081054732835","49.465123094959","49.4751362162908","49.4322404015384","49.3202529754494","49.1653747701626","48.9596255119953","48.717919340055","48.4793672549967","48.2545726674444","48.0590363002196","47.8840323395654","47.734394326709","47.6261848821194","47.5606830087576","47.540414559159","47.5569517712841","47.6046250073992","47.6481488782873","47.6712732995623","47.6707496325331","47.6478330814605","47.6082004555809","47.5716928769658","47.5344789580119","47.5096552710628","47.4872106377122","47.4689643444249","47.4489699934155","47.4327032950565","",
"Africa Eastern and Southern","AFE","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.4499718222789","49.4594338394048","49.4629050453244","49.464019276838","49.4674586499491","49.4760943983411","49.4907439952424","49.5096325321297","49.530135104011","49.5487656695944","49.563412449071","49.5733898790592","49.5799406031181","49.584947327748","49.5907363327103","49.598776239719","49.6090884755279","49.6207281133691","49.6327743612804","49.6439956575181","49.6535058069302","49.6612622346026","49.6673041071401","49.6711166110212","49.6720722139887","49.669878491023","49.6646919131629","49.6569068175553","49.6468123951364","49.6347929844876","49.6212674678368","49.6063636893675","49.5905133455238","49.5747450899545","49.5602785626629","49.5478867045946","49.5377893928565","49.5297626605557","49.5236016440473","49.5189255476194","49.5154587702265","49.5133522635515","49.5126098319295","49.512740121572","49.5131236081304","49.51344311456","49.5134131646025","49.5133633105825","49.5143375214387","49.5176129081286","49.5239210591482","49.5333003759837","49.5450991649517","49.5583174980612","49.5717178729931","49.5844281649771","49.5962730997041","49.6073852198232","49.617642459153","49.6269918303999","49.6354210363528","",
"Afghanistan","AFG","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","51.6793381591819","51.5873111082659","51.5006134882727","51.4191256601559","51.3428636401139","51.2716146671892","51.2059354250288","51.1457282044813","51.0898308029359","51.0368309525846","50.9862216961435","50.9378804317042","50.89290151606","50.8535949775385","50.8225515912401","50.8014003128969","50.7894983061622","50.7857770086978","50.7902100853154","50.802882098805","50.8237412495789","50.8570699301129","50.9036587412492","50.9558188035922","51.0005484949329","51.0285215431065","51.0261561324442","50.9986351890959","50.978351882698","51.0102770498934","51.1155174890478","51.2945694628836","51.5071613124893","51.69748544583","51.8204026206086","51.8624167355119","51.8233856901689","51.7237992871462","51.597885678068","51.4930731466061","51.4414346478195","51.4544273446299","51.5119791915091","51.5801720299899","51.6192281142049","51.6081024159951","51.541127023593","51.4342849674372","51.3151316805425","51.2208289079348","51.1752424002444","51.184216996607","51.2328883530119","51.2999296675334","51.3586756854884","51.392950630598","51.4003323853459","51.388384281721","51.3641532982879","51.3376051479431","51.3154798967672","",
"Africa Western and Central","AFW","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.793011501807","49.800288537769","49.8087704572897","49.8177504531322","49.8265450394351","49.8346372386024","49.8418736223051","49.8484410533535","49.8548193241125","49.8615584889941","49.8690768673608","49.8771369483197","49.885493015913","49.8943671611152","49.9039781879571","49.9143556108079","49.9258871683841","49.9380412512656","49.949028963761","49.9566406241835","49.9596759785446","49.9577733835295","49.9521852493516","49.9452561930416","49.9398210321931","49.9378294229045","49.9395366161743","49.9442138511063","49.9511864474482","49.9595413912946","49.9685535719748","49.9782960072408","49.9887918291949","49.9994011403748","50.0093775746387","50.0182883255558","50.0259549437103","50.0327151263869","50.0391946682207","50.0461893528313","50.054254531894","50.0634418720889","50.0735534969746","50.0845398132232","50.0962882182583","50.1086823648035","50.1217062672141","50.1352809567291","50.1491884510079","50.1631445899175","50.1769689955541","50.1905407284583","50.203855161433","50.2170777434854","50.2303895407019","50.2438904524244","50.2575719680378","50.2712403402478","50.2845585693581","50.2971319173507","50.3086966586103","",
"Angola","AGO","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.6643705208015","50.7587405804859","50.7101938668876","50.5939294954346","50.5128121074572","50.5348255710481","50.6837905919312","50.9294902878994","51.216169950884","51.457148006963","51.5893765406529","51.5926552884843","51.4981085199661","51.348093690703","51.1921520232686","51.0617463511501","50.9598457598026","50.8754823140135","50.8034765009132","50.7350215554284","50.664813236322","50.5934930510025","50.5244250859522","50.4585641099485","50.3967810288131","50.3395655869262","50.2867313287431","50.2376687747667","50.1917184877446","50.148025488739","50.1059595885853","50.0652507518838","50.0259572275769","49.9876099843335","49.9500398148574","49.9129772563401","49.8762145397988","49.8397479432571","49.8043113101904","49.7707109215617","49.7394433842943","49.7113229491779","49.6858000648195","49.6606430038788","49.6331352290936","49.6020707224455","49.5668838140924","49.5295943241351","49.4944236711936","49.4664385151198","49.4483424498808","49.4405354767376","49.440772186471","49.4461362804875","49.4528997776056","49.4586718442368","49.4629935107526","49.4665233513396","49.4695370662576","49.472524987118","49.4758638248797","",
"Albania","ALB","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","51.4066760345238","51.4026119770381","51.3963773432892","51.3886910935115","51.3823401309035","51.3785383733042","51.3769639743798","51.3778910044963","51.3791141383965","51.3782671933355","51.3738292205715","51.3652343625834","51.3542242480007","51.3423325141223","51.3329789236459","51.3279455064056","51.3277384288155","51.3309127580464","51.3355606929586","51.3391786736167","51.3396779435024","51.3314490441787","51.3139522715251","51.2962468895734","51.289985131581","51.2998577956952","51.3415178564096","51.404016522811","51.4389691631167","51.385442152691","51.2087995690901","50.8756409666269","50.4070536035296","49.8921505910749","49.4732590120254","49.2625741144256","49.3178588820663","49.5963702844135","49.9948403879643","50.3647484548628","50.6034360993032","50.6814548738042","50.6347836962839","50.5077746529284","50.3710111749423","50.2776328960966","50.2354048503096","50.227307709675","50.2523576414826","50.3039309206322","50.3749454296413","50.4697976952135","50.5890516116346","50.7154792291999","50.8266216254009","50.9062024740151","50.9470012579566","50.9536022334336","50.9369054040694","50.9138943105883","50.8970046563347","",
"Andorra","AND","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.4152299219129","50.4149938336993","50.4129874361631","50.4098283755801","50.4063859318339","50.4035004851876","50.4014853662101","50.4007713718764","50.4022311461297","50.4068143526502","50.415324862219","50.4268047737414","50.4413927280767","50.4617894881211","50.4911451644022","50.5306497588056","50.5812564530381","50.6397950210267","50.6987475793447","50.7492786377094","50.7863401273067","50.808369040384","50.8189702431588","50.824556952181","50.833217226324","50.8499808046246","50.87509490056","50.9057598446065","50.939673804548","50.9736791122809","51.0025631395735","51.0333098334163","51.0129144162828","51.0401020297033","51.0542701785698","51.0964725542595","51.0768793557977","51.0455229013814","51.0129630170403","50.9923876045523","50.9925163968075","51.0139531680834","51.0530107112425","51.1080057766301","51.176035761795","51.253810110482","51.3419299568867","51.4376843552468","51.5312437091765","51.6110485516301","51.6701060729653","51.7054761614681","51.7210645033143","51.7252439169228","51.7291470621135","51.7398684074459","51.7595387561882","51.7846358599262","51.8094962654888","51.8265779293285","51.8310747606214","",
"United Arab Emirates","ARE","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.0643820942035","51.7445263439847","53.8532895675753","55.8834811795732","57.5034951357851","58.6760535184011","59.4171735040224","59.9482823618114","60.6395794546052","61.8139564654387","63.4189295217302","65.1225568814581","66.6330279664499","67.8606271777004","68.7827971342819","69.4221176556416","69.8982327103771","70.2329648451683","70.3293125776483","70.1025594793464","69.5483209041233","68.6732287557382","67.5809741624428","66.4609343265576","65.5479647905284","64.9813163124513","64.7763460099863","64.837766037224","65.0597270673383","65.3178812245172","65.5379430628455","65.7271808870619","65.9138425206976","66.0900036122928","66.2495309184149","66.3985617152754","66.563350072722","66.7625229237082","66.9944767799392","67.2545683133914","67.5523209937758","67.784663680443","67.9824386154988","68.3796385223756","69.1945365664703","70.3867206076777","71.8348008328786","73.2334378261347","74.2805049618548","74.806135069129","74.8066373816696","74.3144403493638","73.4369964638568","72.3333718928261","71.2518702148492","70.3975732859356","69.841378702539","69.5197511258847","69.3633120499024","69.2573357872442","69.1210567823344","",
"Argentina","ARG","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.440037416668","50.3873898931032","50.3317867945424","50.275081348915","50.2198064581489","50.1673763351072","50.1189982355764","50.0731967834416","50.0256039855893","49.970590127493","49.9048514934572","49.8271898044004","49.740378236115","49.6498130722698","49.5624453481333","49.4829634913317","49.4125095218175","49.3494320646439","49.2918103187531","49.2368947290904","49.1827012762733","49.1296685493107","49.0785165942861","49.0283882717851","48.9781265467843","48.9273168070568","48.8748805985766","48.8217526378805","48.7717633988306","48.7298533037855","48.6989313597547","48.6806978033981","48.672928648717","48.670064379846","48.6646515710743","48.6519072722975","48.6299215556232","48.6012988370056","48.5712667930753","48.5471033189315","48.5336009561605","48.5320548720768","48.540180320215","48.5549518578962","48.5720034594228","48.5881827758695","48.6027901946038","48.6166255710728","48.6299193573558","48.643346828946","48.6572578163438","48.6715491345615","48.6857920505591","48.6998090863231","48.7134144894209","48.72651723201","48.7390256685487","48.7510100508811","48.7626515543443","48.7741977984923","48.7858544837054","",
