General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.8970197,6.4522451,5.5688228,8.5589811,9.4248023,11.190025,13.423798,14.471867,16.378668,17.136626,17.669284,22.486709,21.581322,20.040694,17.517588,16.911462
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.400659,52.425663,57.651788,64.802583,85.123349,119.56963,123.30265,108.20749,107.94147,108.23028,92.666456,85.660709,73.35469,57.743779,49.011562,58.494401,59.69859,50.055759,50.477879,47.124756,53.596786,67.087345,59.072818,58.786107,54.817991,48.848251,63.643007,56.201055,46.821912,41.950261,36.644889
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.7780641,8.9927678,7.4680554,9.8148542,14.834073,15.094145,17.825176,15.383298,15.424208,14.349438,11.579581,9.619883,7.6022296,16.947918,33.315121,40.901874,39.810208,38.081956,37.19229,39.874588,35.787108,39.927747,40.329585,38.304373,37.910846,44.036922,45.873811,44.429487,44.646745,47.362754
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.452948,13.822552,15.313371,16.475799,22.609104,23.485591,22.881907,22.12651,20.367977,18.61532,17.642966,17.298286,15.888997,14.588516,27.903486,36.704851,37.462792,39.901871,38.851598,40.713146,42.570079,39.973103,39.336027,33.34124,35.586455,45.889299,43.296758,38.062576,37.339503,38.223458
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.8260147,9.3116863,9.8389507,9.9958891,9.9910849,10.392532,8.5659838,7.1820854,5.9134566,5.0929285,4.7171145,4.0803756,4.8259415,6.027942,5.4950393,10.282325,10.16793,10.062098,9.510229,8.3936603,7.4941269,7.6231794,7.4478931,7.434648,7.8298935,7.9501998,8.2051207,8.0917592,14.627489,15.285257,19.089586,18.503093,20.849113,22.407036,21.863325,21.13316,19.597566,21.802238,20.870062,22.338861,24.532707,24.184585,24.901572,25.024478,25.981139
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.128536,67.319254,59.109206,51.134407,43.723142,38.165753,32.76919,29.62035,33.636423,34.362522,32.517879,38.06503,39.532114,41.393131,41.960132,40.777806,39.661654,39.348314,39.360854,50.40803,51.212214,51.898322,53.787502,55.656453,55.373068,56.970772,55.787491,54.395472,55.645963,57.082522,67.69311,69.162165,65.500132,69.749496,70.390735
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.906778,43.062736,50.869742,55.52829,66.42987,61.146173,65.166483,63.368887,69.008604,71.209216,70.150711,64.545265,62.036812,61.525822,66.044185,65.033279,68.938357,65.611597,64.94401,60.745043,55.047745,53.149019,45.558206,41.442758,39.261073,48.823279,49.80321,49.547312,47.857863,47.387671
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7302957,18.148175,26.053722,27.294128,32.710792,37.165182,43.713065,46.795439,45.753439,44.354501,42.227008,44.059993,41.196885,38.830498,35.917883,37.555751,33.352801,34.942996,33.874679,29.214093,26.532108,24.687355,25.126891,21.668571,20.05574,19.807779,18.668537,16.678553
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.1044,18.708809,20.626099,16.460996,23.672258,23.338944,18.917769,26.974769,35.775601,40.588843,45.784801,50.403406,58.315913,55.306893,57.20873,64.498115,57.163963,48.668351,45.627904,43.496488,46.715796,40.12352,36.7191,34.091144,39.263603,45.455501,42.94679,43.969429,43.435569,44.062605,59.730404,60.492191,66.695592,70.786864,61.142672,61.650424,59.32011,51.585235,49.402559,58.415254,56.395289,56.523735,55.864628,58.192369,60.64913,64.954755,64.347024,63.041814,64.124872,74.553805,93.424413,93.836241,86.895648,85.578407,91.357718
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.911984,43.392819,47.172753,42.134311,35.874319,27.143662,23.783511,24.303591,24.929607,25.739122,25.004492,25.404239,26.036959,29.173716,31.124452,29.369091,28.598684,27.291432,27.940735,28.36998,25.968822,24.572646,23.92328,21.041193,19.744137,21.480135,16.955993,15.073677,12.862771,10.924323
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.480332,87.491984,89.048893,159.40985,150.73894,89.0985,85.380111,80.342406,68.059108,49.334543,40.421213,34.984433,28.274787,22.195314,32.612371,25.474632,24.200726,31.332957,29.974304,35.363117,42.096207,39.677552,34.860448,31.799548,28.792071,36.633372,33.638625,35.037618,34.943219,38.132142
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.937293,36.113123,30.992453,48.535595,30.975085,32.652583,43.692015,49.423448,43.962785,50.546886,78.677807,86.897829,76.538941,66.836964,83.391501,67.727797,64.488553,45.873346,44.362598
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.708061,40.897099,45.371534,38.568239,36.691669,31.757507,34.184547,43.68868,45.006704,48.571711,56.86997,58.653721,63.359791,68.760404,66.390439,66.206974,71.884939,78.793107,107.34849,85.626547,70.552428,60.468461,62.641923
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,246.6836,242.49795,188.9392,123.07937,126.89177,112.52169,82.200511,61.223039,77.971752,71.055963,59.570235,56.268586,20.520701,22.379198,20.465578,17.585346
Netherlands,143.72789,123.92654,111.84604,106.24157,92.859918,83.85586,78.476066,76.043519,78.540773,76.874519,69.860181,69.008782,66.794123,64.610273,59.800392,58.38099,58.16345,57.582767,56.952527,48.183889,46.08408,43.658602,41.326412,38.115462,36.280068,36.053501,35.150885,34.917365,38.088888,39.46066,43.556597,46.877498,52.443797,58.40192,61.917569,67.093096,68.948811,71.292392,73.694593,73.740136,75.020128,74.814412,75.589688,76.665048,73.496949,73.030494,71.245873,65.696316,62.679978,58.601,52.154731,49.414111,48.692685,49.804331,50.095095,49.57984,44.960371,42.741118,54.352302,56.289781,58.897207,61.166928,65.690364,67.160631,67.16591,63.799335,60.882702,55.985728,51.521772,47.597458,53.347794,50.431271,48.345274,45.098206,43.234729
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40458,86.469963,99.826428,95.219355,87.475545,110.38549,109.54021,84.047522,66.607603,51.15567,30.916019,25.999247,29.258146,30.34714,28.794343,27.85246,28.835446,28.689616,28.910783,30.923391,34.654189,39.091497,44.203758,49.159634,48.433362,45.918849,42.260507,39.118415
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.430772,17.576815,18.289297,18.15553,21.024081,24.469154,25.355339,28.695436,30.192283,35.625273,36.788649,40.435144,48.673118,52.900153
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.248525,21.316747,23.486779,29.337176,33.102896,30.445276,45.560813,45.2145,40.464236,36.461255,34.580017,36.66909,30.58568,23.531595,20.641671,23.729338,24.272662,27.728043,33.662031,34.039645,38.036011,37.997501,39.721188,39.382734,40.425274,40.448434,50.845999,52.749568,50.449301,50.827147,54.833632
Norway,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.067404,41.071102,41.565059,40.263477,37.786536,39.081613,40.791129,46.571255,53.436341,56.893148,47.683235,43.3953,38.488391,35.405423,35.212364,36.921428,45.995717,38.519394,32.429622,32.338066,28.944201,39.241698,44.995186,53.651698,50.64338,32.737746,28.445878,25.756917,23.57386,24.959494,28.66787,27.233392,33.944999,43.077617,43.829032,42.326586,52.587025,49.515078,47.545024,42.543956,42.951602,29.610855,30.908325,31.427175,29.661327,34.334223,37.938117,38.256533,39.41292,40.558203,46.112391,41.641312,36.110942,44.211779,42.719202
Panama,13.47352,12.552143,12.536232,13.094017,13.476563,16.048265,15.716753,16.514241,19.916143,21.64974,22.919673,27.194307,25.931062,24.986595,25.765646,25.564479,33.198887,35.656301,38.17042,30.198858,32.313293,35.336182,37.849206,40.965862,43.834618,38.00954,52,55.072691,63.101908,69.016112,74.890953,76.542305,80.860285,86.574746,82.536475,82.541651,83.990594,92.204033,105.03539,104.40368,112.6521,103.69364,91.230606,83.553504,78.366427,76.670884,65.034409,60.193502,58.137844,55.149157,53.586347,57.82223,56.981791,56.47603,58.780601,59.33002,54.740138,47.440039,40.032808,39.06729,38.109474,35.644385,34.04403,33.738145,34.733454,34.250384,33.617624,33.571981,35.59319,39.862552,61.49288,54.403834,52.702151,51.493673,56.618902
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.464262,48.304296,47.440949,48.81299,48.84523,44.68555,41.848239,33.81814,29.574986,26.513855,26.648093,23.53731,21.36401,19.730345,18.83949,19.210937,22.476186,22.947914,23.165992,23.473821,24.697854,32.32491,33.656557,31.919023,31.186676,30.921257
Philippines,10.887489,10.395683,9.7376808,12.717706,12.167466,13.14629,14.496651,13.735405,16.02595,16.793346,13.835107,13.817321,13.300075,11.818012,11.827937,12.635568,12.77371,12.950324,13.476589,14.565557,14.147675,13.556961,15.393095,13.849888,12.405817,12.462515,15.996384,18.56092,21.461519,20.707251,22.706602,25.110584,29.61576,38.338363,40.242718,47.444696,68.353066,69.965607,60.947726,55.220409,56.184106,55.59742,53.909829,68.596604,63.602625,60.848952,53.074388,56.890602,50.773325,54.217731,59.202745,59.470941,65.18395,71.392968,71.082311,64.674293,57.188542,50.167617,50.010093,49.805296,47.586513,45.433618,45.691174,43.863144,40.299298,39.687992,37.376365,38.130096,37.147156,36.972652,51.643608,57.004626,57.388785,56.484457,57.060458
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,89.691044,76.936601,81.946615,83.916324,64.277499,48.739423,43.169165,42.707635,38.691636,39.365669,36.397147,37.161863,41.566248,46.4071,44.908498,46.474198,47.097621,44.427514,46.559363,49.700504,53.747735,54.780204,54.472206,56.859047,51.129965,51.05616,54.128807,50.444303,48.233678,45.211071,56.584671,53.013585,48.785915,49.71811,55.282218
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.635641,20.321388,19.012841,17.807647,17.44451,25.295294,30.799295,32.228411,36.162084,24.67699,35.003265,43.195232,47.219237,51.297804,56.889441,61.246053,60.809186,58.211623,57.79821,56.318261,60.213027,63.915451,58.095741,57.231096,60.421384,62.214774,63.31226,58.71551,55.615697,55.405536,54.193086,57.380182,60.043745,63.897307,67.099497,72.249082,73.679427,72.727962,75.642592,87.799038,100.07539,114.02387,128.60352,130.84079,132.45326,131.0233,131.18025,126.02922,121.1123,116.10971,134.09638,123.87825,111.23173,97.732783,94.927404
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.9057355,10.994867,15.030701,16.466335,21.721897,22.486587,25.869442,24.820797,22.109332,18.945246,15.90511,12.423584,11.949157,12.331628,21.773862,28.961425,32.344751,35.374485,37.781263,39.136694,37.711294,37.833877,35.262252,34.375456,34.962178,46.611593,48.339013,47.895988,48.875594,54.581212
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135.1933,92.379379,55.868371,44.438155,37.577188,28.334198,20.827898,14.85063,9.8039012,8.0326956,7.4462447,9.9181918,10.105264,10.340154,11.167431,12.348062,15.135824,15.28642,14.849323,14.311072,13.619616,13.747518,19.156129,16.524341,18.480342,19.486623,20.302591
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.66627,67.221842,79.031072,89.184837,96.47671,105.17495,119.71714,140.6838,153.12967,130.09738,140.34831,135.40188,123.40831,129.06777,134.90111,127.07425,121.35875,91.499447,69.335519,62.190728,57.365643,53.330469,53.910648,54.280852,67.962937,69.092278,60.200253,55.928592,52.190957
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.940796,52.055017,49.579015,48.085562,52.819955,46.80203,40.6805,38.794049,39.534056,52.853483,54.264133,52.005253,53.178397,55.33869,58.570965,50.523376,44.744495,48.460696,50.312787,57.24837,61.116668,64.020458,68.101962,69.947335,75.037106,75.096278,79.44498,68.995825,69.396057,68.155128,79.970047,88.355182,86.30105,89.177588,92.693127
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,200.63484,95.89121,68.420451,64.446006,57.582793,50.132767,37.041338,30.0107,29.414268,32.629895,38.1979,42.009583,51.726713,54.101797,63.473951,67.077702,64.978412,55.256826,51.13673,49.454295,54.324922,53.637457,50.906755,45.666757,44.479026
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.2558,23.94078,21.312376,30.339356,32.824757,33.781414,47.000255,50.49807,51.199307,45.366935,43.523574,41.876917,34.87675,31.433865,30.337112,28.613,36.383832,40.637482,43.250137,51.674206,54.582626,53.347405,51.524328,52.04664,51.28554,49.188432,47.918348,58.30461,60.061063,57.570591,55.996596,58.016539
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.875179,18.228097,21.597797,22.096812,22.820613,23.81716,26.085448,26.323934,27.682339,27.027581,27.100496,26.588528,26.207564,22.943364,21.893853,34.940539,38.607188,46.814764,54.073903,70.836235,81.133002,83.418152,79.430288,74.889913,71.00659,66.020371,80.169966,74.832092,72.738663,68.394182,67.039083
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.106555,19.449588,24.428127,29.516249,36.023336,40.866075,42.073322,41.915137,38.501906,39.869669,41.304267,41.863747,44.132982,54.567271,57.018953,61.586475,65.441953,64.2863,62.354666,60.853144,57.840514,54.052228,51.236868,47.686949,45.332696,42.39519,39.019058,35.698127,39.6088,53.079279,60.26603,69.52841,89.56038,100.00031,104.41762,102.44212,101.9665,101.14424,99.718283,97.578816,119.17898,115.59391,109.40393,105.03426,101.82044
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.469387,27.82541,27.685224,27.024738,27.372383,26.603891,24.819755,26.935373,31.111936,35.650989,39.808513,46.95316,55.605621,58.875072,59.986364,59.66507,59.164897,52.649012,47.202419,42.912027,38.969887,46.86488,58.966183,66.096477,68.551374,68.692631,68.933618,67.701155,65.39963,60.278689,50.438187,51.985968,49.839962,49.444645,48.665728,48.897303,43.840028,39.198756,37.952244,41.192322,38.592934,37.669829,37.992414,40.776753,45.686272,44.456223,42.786434,41.558426,39.809703,35.694355,40.139073,36.685462,33.62902,31.460915,32.642485
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.322485,33.005222,32.417934,31.128789,30.239281,28.993612,26.941506,33.33143,35.092407,39.487218,44.372402,47.078919,49.994437,51.339083,53.671176,55.938444,52.685049,52.225356,51.07727,57.699737,56.876919,57.802975,54.884316,48.46323,44.750984,44.817402,43.091054,41.456666,41.882551,42.56903,41.947608,42.070336,42.160255,40.933626,41.751039,39.783452,39.637382,43.200142,40.980365,37.191378,38.679454,37.577806
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.98249,23.686645,23.690115,26.227295,30.125563,29.778821,32.14996,33.445752,34.067814,33.296974,32.156545,33.353176,36.710795,36.889863,38.34263,39.204933,38.894747,37.488433,35.941432,35.36392,34.457937,33.831378,32.612034,31.958246,30.085622,29.482617,29.044261,26.165001
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.566524,107.80669,111.42891,99.448644,98.296912,69.760188,49.412182,45.843282,36.806967,34.269358,30.228601,36.939891,36.837828,35.512324,32.462498,29.291642,27.892329,35.018934,42.179214,46.299834,46.584732,43.494513,51.761681,42.096837,32.501197,30.937345,29.54284
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.2806162,43.681269,42.882391,42.824613,40.810582,41.23219,40.71055,39.877206,41.356259,40.747265,43.143022,41.849846,39.630641,40.424747,43.491397,51.643913,39.686307,71.155393,78.563617,88.132339,124.76438,106.50866,117.59618,129.18751,126.01806,111.11086,89.638998,73.374757,62.20048,62.886944,55.359557,50.770359,47.371423,44.375818,44.521628,46.09135,34.461764,23.760667,21.743395,24.013394,27.5533,28.382779,30.045548,32.680234,36.409311,39.523594,39.797165,40.109451,42.032444,40.436605,41.269442,43.394446,44.853919,47.357514,48.214018
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.896613,23.992813,22.899202,22.079366,26.795897,27.782025,27.315354,28.516681,29.638856,29.951162,32.216929,30.691023,32.527594,33.952898,34.046603,45.095585,52.779103,53.739223,54.629002,57.172238
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.865335,107.9154,88.152011,72.895174,45.068043,31.963482,22.366796,15.091677,9.0119749,5.5866573,4.0470442,4.7064996,4.0813683,6.2146681,10.018897,13.761804,16.013711,12.304383,14.54457,18.520179,19.980362,18.662507,15.271739,13.323125,10.652752,5.7720019,4.656105,4.6214895
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.318469,75.509067,71.506141,65.1598,57.158377,50.196038,44.225348,37.758743,37.748024,43.211957,39.51069,35.911786,32.226663,30.892401,28.277361,27.162614,27.746645,27.777075,29.859528,32.38982,39.445803,40.38396,30.802472,29.262843,25.970907
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.151822,24.36603,28.891838,46.537366,58.958847,43.789532,36.690024,33.579562,29.380226,24.798092,17.740632,14.800602,12.266637,20.412978,35.424768,40.625843,36.875672,37.541538,40.518808,70.316871,79.330617,79.512843,71.620256,60.352682,50.452498,60.505398,48.917085,77.717256,82.328981,89.843445
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.71818416,1.1076178,1.7771951,3.1695149,3.6466676,3.4619297,3.6994311,2.4881407,2.2878974,2.5219857,3.0964417,3.4705934,3.8895569,5.3542035,5.2825313,5.5970118,5.1952752,4.2998697,4.9729449,5.3126392,6.0108754,5.5834102,5.0618867,3.4826067,2.8589151,4.1829198,4.726629,3.1198914,2.6896826,3.4271481,3.3319962,4.0800812,4.4815216,5.0516548,8.8916651,8.9494419,21.136111,18.798562,20.862349,20.657221,15.611114,13.818651,16.10446,19.26705,21.86356,21.329189,26.80107,41.293841,36.291296,32.05678,32.435968,32.114167
United Kingdom,179.89667,162.18009,150.14853,140.87122,135.84146,127.55345,119.0355,112.63947,108.93689,103.3618,97.938579,94.152184,90.98159,89.213628,82.645272,77.227696,74.67233,71.868372,70.964438,66.036904,73.421641,67.936117,65.039682,58.538645,56.166139,49.589365,47.683601,53.680622,47.254308,44.521022,43.709274,41.131367,44.700805,44.199324,44.139236,42.894147,42.862741,41.752464,36.584168,31.43626,28.262052,28.722,33.977266,42.115983,40.703311,45.057845,44.738476,44.132032,41.969512,40.409759,37.685691,34.957749,35.434462,36.763689,39.801548,41.000423,42.058289,43.173898,50.827372,64.915012,75.86023,81.425066,84.482601,85.316059,87.094325,87.866687,87.82519,86.722814,86.345145,85.657192,105.84011,105.13074,99.613684,100.36298,101.28941
United States,83.126037,72.955032,72.525492,71.753219,73.568066,68.498633,64.726033,62.329546,64.927332,62.335885,60.832947,61.393351,59.371678,57.954916,55.988829,53.060492,50.144581,50.395849,48.73687,45.939659,46.228617,46.639114,45.073158,42.257212,41.160763,44.419521,44.598714,43.301052,42.086737,40.668018,41.268459,40.390362,45.01271,47.920336,49.568908,54.205577,57.663935,59.466124,60.338227,60.455952,62.162725,66.545629,68.809346,70.796786,69.579457,69.110259,68.234457,65.839581,62.603912,59.031395,53.169404,53.331469,55.722557,58.803416,66.277188,65.607959,64.343452,64.739251,73.589542,86.786798,95.347358,99.680764,103.24415,104.52196,104.42918,104.85393,106.78034,105.72778,107.04127,108.19672,132.03249,124.71632,118.8064,118.99808,120.78568
