General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,87.749903,76.520917,70.054312,67.192534,68.277314,66.456116,58.404764,57.632371,63.096356,64.175397,64.874549,67.360435,66.641207,65.377952,62.025052,58.308955,57.071468,57.024001,56.320384,54.425403,56.74467,57.892179,56.689727,52.330526,49.502748,49.877217,42.836137,44.299541,47.117918,44.161177,44.589724,46.07713,51.706678,57.211249,60.212917,65.166256,69.32348,69.76068,69.7445,70.986777,73.744251,81.658172,88.229988,94.730248,97.480466,100.08417,100.24388,95.272492,93.290188,88.965669,80.436608,81.462033,79.604069,75.911797,71.8894,70.64041,69.919832,67.181353,70.35535,81.804123,83.976212,84.286296,87.150948,87.60508,85.540514,92.028852,92.396824,90.942246,90.776119,90.210165,118.06558,112.61731,104.20738,107.71072,110.76918
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.136493,36.961679,30.290659,27.969412,22.568587,17.214625,14.584476,12.779823,12.115297,13.277007,13.14564,14.348084,15.04533,12.573018,10.314065,7.0396205,5.0223977,3.9012603,4.9159891,5.8449264,8.6073275,11.12689,11.939073,12.784064,15.019748,17.37466,21.100505,23.651639,25.798028,28.329642,32.380101,36.447857,37.907331,39.41519,41.980756
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.423797,21.220679,20.394346,20.438078,21.609056,22.707831,24.252332,25.553138,26.41798,25.999898,25.910046,25.173645,28.707723,26.715032,33.984778,33.343159,33.184085,33.825236,36.437679,39.307847,40.781626,49.71999,53.903251,55.577191,59.441472,69.035362,70.146806,75.453183,82.013641,88.327128
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.276291,25.252401,27.442235,33.968611,37.972177,41.07851,47.526084,45.021342,41.465506,38.532609,35.969176,32.663251,32.382419,35.386764,36.49704,35.783449,33.966527,37.592206,43.318837,50.37476,49.904076,49.448557,51.761259,50.971504,65.274227,64.416601,61.299782,55.456568,61.276566
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.8185,22.8385,27.6462,31.3345,37.3196,39.876,47.8222,38.8873,36.3547,31.4369,33.2162,39.5615,39.0122,83.8047,59.2411,72.9381,78.4661,98.4783,86.5102,98.5557,120.533,119.099,123.159,97.6766,162.721,171.187,129.964,136.934,257.925,no data,134.98226,185.41066,136.04229,114.46404,164.08604,111.99821,107.54943,85.089009,80.300868,91.61682,31.796115,29.320681,25.128495,23.827825,22.774442,25.483497,32.979113,23.179812,19.288227,19.392913,24.856474,24.685264,22.603115,25.060587,19.309748
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.086626,28.199326,29.991697,34.120779,35.387792,37.83697,40.204355,44.385987,47.434115,52.255879,56.922402,67.380816,68.144073,63.498513,61.602525,60.170254
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.32914,30.007212,35.433531,36.589012,36.452753,37.845063,39.95689,40.900522,38.372452,37.078143,38.914925,47.913524,56.800773,63.132247,68.853367,79.479874,83.223614,82.768207,79.256449,76.171385,72.846966,70.883708,86.468699,78.200936,68.543709,61.836026,57.647263
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.428949,8.715105,9.90906,10.3789,13.64084,15.247914,20.031032,18.442451,21.361395,23.361516,27.850003,30.743621,33.162136,41.720267,42.958446,44.005942,47.08563,47.966966,48.758972,47.476218,47.151864,52.935957,52.136783,54.532967,49.867506,45.820391,47.092049,50.962785,54.657631,54.843973,57.606418,59.08434,62.567989,64.465879,66.108325,65.425302,60.728125,54.78317,46.290821,56.842156,59.313194,69.129474,83.610325,107.5015,112.71486,111.59663,106.92185,96.478998,100.71855,92.29267,113.60195,96.480154,80.953563,73.646458,65.324128
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.476376,11.506143,12.123598,13.876998,15.087848,16.894528,22.596885,25.703152,28.061586,28.288733,27.677815,27.564803,27.34598,28.154947,33.430499,36.70009,39.401957,43.835303,44.141092,41.54618,39.469493,36.232214,33.781826,31.677756,29.551736,36.882939,40.692005,42.520375,42.449171,42.98805
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.580173,10.715041,9.3832142,7.4233088,6.9656805,11.17437,13.720674,16.935556,20.546112,25.328146,45.750444,55.938722,67.916415,79.066284,80.337738,77.814061,75.30272,71.877688,70.145489,68.313378,69.404483,70.245584,66.748112,78.673354,75.30654,71.453829,68.31606,64.388165,60.318608,56.788828,53.552572,50.096446,50.319806,48.162303,46.215143,39.359931,33.191019,29.482647,35.53918,43.048747,46.123275,49.986205,48.71121,47.769891,48.712443,44.550356,41.691946,40.152558,38.538748,38.334642,46.278416,40.487225,34.076839,33.588568,27.993064
