"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Fiji,1.303,1.339,1.293,1.217,1.276,1.236,1.398,1.276,1.202,1.281,1.448,1.5,1.659,1.772,1.977,2.134,2.307,2.268,1.795,2.104,1.824,1.798,1.996,2.509,2.954,3.257,3.361,3.688,3.816,3.106,3.402,4.094,4.303,4.539,4.857,4.682,4.93,5.353,5.581,5.482,4.477,4.296,4.837,5.385,6.106,6.534,6.936,7.334,7.739
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.718,128.194,113.134,89.279,103.739,134.339,132.183,127.076,134.212,135.398,126.075,129.534,140.305,171.609,197.39,204.999,217.101,256.408,285.685,253.222,249.628,275.556,258.454,271.366,274.934,234.558,240.705,255.558,275.833,268.545,271.668,296.585,281.047,301.67,310.607,319.374,328.025,336.151,343.237
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.634,1366.243,1377.667,1500.348,1844.083,2118.671,2198.16,2320.659,2660.905,2929.983,2697.955,2647.348,2864.653,2685.371,2811.918,2856.701,2439.436,2472.282,2594.235,2792.223,2729.171,2635.921,2957.423,2784.02,2923.489,3018.894,3133.395,3232.744,3321.712,3390.9
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.875,15.339,20.242,21.931,20.33,20.864,21.568,22.646,23.158,23.92
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.806,1.809,2.034,2.133,2.277,2.501,2.699,2.864,3.048,3.247
Georgia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.85,1.961,3.148,3.608,3.73,2.898,3.144,3.311,3.493,4.103,5.269,6.59,7.979,10.458,13.158,11.069,12.242,15.107,16.489,17.188,17.627,14.953,15.141,16.242,17.599,17.477,15.846,18.625,24.606,27.947,29.948,32.533,35.239,38.124,40.936
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3357.926,3468.896,3689.547,3976.246,3888.655,3886.555,4262.767,4075.395,4308.854,4446.466,4635.16,4822.11,4947.322,5044.443
Ghana,37.35,60.694,70.406,47.317,17.113,15.255,14.072,11.777,12.523,12.733,14.749,16.506,16.312,13.348,12.32,14.61,15.482,15.794,17.166,17.766,11.47,12.234,14.205,17.528,20.302,24.6,28.883,34.044,38.659,34.601,43.327,53.849,56.854,63.702,54.285,49.437,56.144,60.385,67.259,68.353,70.008,79.157,72.839,66.622,67.903,71.791,76.227,81.207,86.624
Greece,56.529,52.161,54.415,49.184,47.922,47.532,55.945,65.129,75.803,78.582,97.137,104.742,115.484,108.103,115.694,135.786,144.642,142.117,143.424,148.151,131.082,135.16,153.152,200.613,238.823,245.92,271.254,316.25,352.866,328.156,297.368,282.946,242.183,238.911,235.519,195.703,193.097,199.773,212.146,205.279,188.774,215.017,219.237,239.3,248.274,256.696,264.337,271.311,276.698
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.213,1.043,1.105,1.193,1.274,1.366,1.444,1.523,1.601,1.682
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.493,9.161,10.15,11.032,12.501,14.04,14.993,16.981,18.441,17.391,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.331,77.154,77.625,86.988,93.655,102.309,111.017,119.475,128.231,137.725,147.985
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.012,4.506,4.178,6.317,6.966,6.753,6.858,6.775,7.387,8.376,8.777,8.79,8.604,10.325,11.857,13.443,14.178,16.155,20.469,23.3,25.425,27.464,29.504,31.674,33.903
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.555,1.487,1.523,1.725,1.705,1.887,2.023,2.127,2.228,2.32,2.389
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.658,14.521,16.309,22.014,22.63,29.58,30.462,31.425
Haiti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,20.535,26.58,27.616,28.57,29.655,30.68,31.629
Honduras,3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.187,7.651,7.858,8.23,8.869,9.757,10.917,12.361,13.882,14.587,15.839,17.71,18.529,18.5,19.757,20.98,21.718,23.136,24.068,25.091,23.662,28.291,31.521,34.338,36.353,38.289,40.578,43.004,45.575
"Hong Kong SAR",28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.075,344.941,368.924,360.983,382.854,403.547,424.475,445.896,468.014,490.965
Hungary,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.285,104.121,113.211,115.716,140.187,158.326,131.069,132.175,141.942,128.814,135.684,141.034,125.174,128.61,143.112,160.565,163.979,157.182,181.848,168.294,188.505,203.32,212.229,219.954,226.088,230.875
Iceland,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.261,24.664,21.553,25.553,27.842,28.625,30.964,33.216,35.602,38.309,41.191
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.867,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2671.596,3150.307,3386.403,3736.882,4062.154,4403.354,4765.545,5153.012,5575.474
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.488,1042.711,1119.452,1062.532,1187.732,1318.807,1391.778,1508.547,1631.609,1760.505,1898.989,2048.504
Iran,95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,246.318,241.658,195.528,289.294,352.213,367.968,388.838,405.547,423.33,442.499,465.846
Iraq,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,167.807,192.343,227.186,234.019,169.354,206.517,270.364,267.893,277.826,289.104,301.808,314.934,329.103
Ireland,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.185,222.096,238.959,225.771,238.344,259.237,291.805,299.009,336.259,385.911,399.366,425.511,504.517,529.661,594.095,633.701,667.656,698.21,729.268,757.47
Israel,24.915,26.399,28.292,31.553,29.871,27.763,34.179,40.823,50.57,51.453,60.715,68.873,76.961,77.351,88.297,104.893,114.507,118.861,120.057,120.922,136.034,134.637,125.06,131.299,139.974,147.084,158.67,184.053,220.53,211.968,238.364,266.792,262.283,297.733,314.33,303.414,322.103,358.246,376.692,402.47,413.268,488.527,522.53,539.223,563.267,590.035,618.04,648.112,679.463
Italy,479.122,434.498,429.408,445.612,440.268,454.653,643.932,808.203,895.423,931.283,1162.272,1227.727,1302.796,1047.616,1080.544,1175.278,1312.783,1243.228,1271.701,1253.69,1147.183,1168.032,1275.867,1577.228,1805.723,1859.244,1949.657,2213.364,2408.392,2197.54,2137.845,2294.591,2088.28,2141.954,2162.567,1836.824,1876.554,1961.104,2092.881,2011.524,1895.692,2115.762,2012.013,2169.745,2217.748,2285.284,2347.432,2406.849,2450.426
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.885,14.674,16.039,17.254,18.108,18.89,19.587,20.304,21.052
Japan,1127.876,1243.79,1157.601,1268.62,1345.204,1427.354,2121.25,2584.339,3134.179,3117.068,3196.556,3657.348,3988.334,4544.766,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5048.79,5005.537,4233.538,4409.738,4526.48,4731.496,4923.43,5077.123,5344.032
Jordan,3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,45.058,44.245,45.809,48.836,52.061,55.013,58.072,61.302,64.712,68.319
Kazakhstan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,171.082,197.112,225.784,245.695,259.683,275.633,286.957,298.179,316.213
Kenya,13.449,12.667,12.196,11.279,11.703,11.646,13.832,15.163,15.722,15.586,16.219,15.315,15.084,10.479,12.547,15.905,18.064,18.3,20.63,18.594,18.206,18.697,19.03,21.391,22.79,26.308,29.668,36.708,41.059,42.347,45.406,46.869,56.397,61.671,68.286,70.12,74.815,82.037,92.203,100.378,100.667,110.347,115.989,118.13,121.479,128.959,135.973,143.872,151.984
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.156,0.181,0.19,0.185,0.178,0.171,0.179,0.188,0.196,0.175,0.178,0.228,0.224,0.248,0.263,0.275,0.286,0.297,0.309
"Korea, Republic of",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.465,1049.168,943.739,1143.568,1253.419,1278.046,1370.633,1484.489,1466.039,1499.362,1623.074,1725.373,1651.423,1644.676,1810.966,1665.246,1721.909,1792.727,1870.628,1949.776,2033.334,2123.03
Kosovo,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.202,5.03,5.348,6.34,6.167,6.735,7.076,6.296,6.681,7.178,7.882,7.9,7.728,9.418,9.363,9.99,10.701,11.161,11.537,11.828,12.134
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,120.687,138.202,136.192,105.949,136.799,184.558,164.713,165.209,166.604,169.566,172.647,176.373
"Kyrgyz Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,8.872,7.792,8.747,11.052,12.039,12.842,13.711,14.61,15.461,16.231
"Lao P.D.R.",1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.905,17.055,18.131,18.77,18.511,18.533,15.304,14.091,13.94,14.701,15.632,16.624,17.701
Latvia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",1.694,2.728,4.533,5.411,5.975,6.529,7.169,7.535,7.963,8.363,9.564,11.777,14.44,17.03,21.589,31.1,36.023,26.48,23.998,27.74,28.191,30.21,31.395,27.266,28.076,30.473,34.445,34.348,34.574,39.752,42.225,47.398,50.204,53.1,56.049,59.042,61.83
Lebanon,4.02,3.843,2.621,3.611,4.269,3.566,2.78,3.254,3.269,2.682,2.801,4.392,5.472,7.435,8.988,10.971,12.824,15.535,17.059,17.174,17.018,17.361,18.837,19.486,21.16,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.017,46.88,48.096,49.929,51.148,53.028,54.901,50.88,24.494,"no data","no data","no data","no data","no data","no data","no data","no data"
Lesotho,0.437,0.443,0.369,0.406,0.363,0.29,0.333,0.435,0.494,0.514,0.62,0.703,0.815,0.814,0.859,0.965,0.914,0.963,0.888,0.871,0.847,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.202,2.206,2.424,2.484,2.375,2.133,2.55,2.48,2.584,2.708,2.841,2.958,3.068,3.276
Liberia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.863,0.904,0.943,0.714,0.897,0.944,1.109,1.344,1.676,1.765,1.966,2.34,2.675,3.044,3.09,3.092,3.256,3.321,3.264,3.08,3.037,3.509,3.974,4.375,4.72,5.125,5.561,6.009,6.468
Libya,40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.809,75.381,48.17,92.542,75.352,57.373,48.718,49.913,67.155,76.681,69.241,46.895,39.007,44.066,46.297,48.315,50.248,51.568,52.916,54.385
Lithuania,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",6.696,8.383,10.119,11.24,10.972,11.525,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.776,54.758,56.801,66.489,70.523,78.346,85.052,91.019,96.135,100.367,103.382
Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.089,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.594,58.838,54.408,56.26,61.686,59.814,65.204,68.823,60.078,62.2,65.689,71.033,69.833,73.933,85.563,82.34,86.971,90.464,95.037,98.939,102.718,106.014
"Macao SAR","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.048,45.071,50.441,55.285,55.205,25.46,30.124,21.979,35.841,44.716,49.86,53.118,56.301,59.827
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.051,14.555,15.233,15.969,17.137,18.561,20.04,21.699,23.792
Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.463,12.512,11.277,10.891,11.17,11.629,12.285,12.99
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.51,64.452,72.866,81.138,96.628,109.854,108.78,78.634,86.203,102.149,101.054,109.833,120.025,135.869,150.356,170.514,202.869,242.08,212.026,258.844,302.643,319.153,328.074,343.088,301.36,301.918,319.249,358.994,365.283,337.612,373.034,407.923,447.026,481.798,520.313,559.141,595.072,634.978
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.294,5.598,3.736,5.386,6.207,7.004,7.613,8.288,8.95,9.628,10.322
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.871,10.249,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.643,19.656,19.048,20.776,22.268,23.601,24.955,26.33,27.633
Malta,1.202,1.174,1.109,1.083,1.025,1.038,1.348,1.682,1.909,1.999,2.401,2.611,2.906,2.59,2.868,3.38,3.446,3.489,3.697,3.858,4.075,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.665,13.48,15.305,15.883,15.034,17.755,17.779,19.405,20.512,21.575,22.666,23.77,24.799
"Marshall Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.111,0.114,0.115,0.115,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.236,0.244,0.257,0.276,0.291,0.303,0.314,0.325,0.337,0.349
Mauritania,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.472,8.065,8.612,9.892,10.321,10.966,11.392,11.934,12.359,12.875,13.405
Mauritius,1.242,1.179,1.131,1.198,1.108,1.122,1.515,1.919,2.225,2.286,2.743,3.017,3.398,3.502,3.887,4.439,4.59,4.31,4.354,4.597,4.935,4.882,5.123,6.155,6.962,6.867,7.123,8.26,10.125,9.252,10.138,11.673,11.826,12.293,13.074,12.007,12.594,13.714,14.736,14.436,11.401,11.478,12.772,14.57,15.477,16.207,16.935,17.59,18.284
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1315.356,1171.87,1078.493,1158.912,1222.406,1269.01,1090.515,1272.839,1414.101,1663.164,1732.946,1796.644,1860.419,1928.854,2003.179
"Micronesia, Fed. States of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.416,0.412,0.406,0.423,0.456,0.479,0.495,0.509,0.522,0.536
Moldova,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.515,11.252,11.737,11.53,13.682,14.41,15.829,16.98,17.745,18.869,19.757,21.718
Mongolia,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.286,16.833,16.908,17.726,19.025,20.366,21.768,23.561
Montenegro,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.777,5.865,6.104,7.027,7.571,8.015,8.435,8.833,9.195
Morocco,23.807,19.329,19.51,17.635,16.13,16.28,21.497,23.713,28.08,28.901,32.661,34.94,36.483,34.259,38.532,42.238,46.71,42.366,45.243,45.055,42.053,42.704,45.711,56.345,64.528,67.468,74.284,85.539,100.112,100.535,100.881,109.705,106.345,115.608,119.131,110.414,111.573,118.541,127.341,128.92,121.348,142.867,138.052,138.781,147.078,155.346,163.613,172.551,181.978
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.633,2.64,2.73,2.797,2.9,3.857,4.649,5.264,5.976,5.656,5.399,5.677,6.303,7.631,8.542,9.177,10.451,12.556,11.914,11.105,14.382,16.351,16.974,17.716,15.951,11.937,13.219,14.845,15.39,14.157,15.777,17.94,19.909,22.228,23.736,25.391,29.84,34.849
Myanmar,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",5.154,6.439,7.736,7.131,6.921,8.881,10.754,12.126,13.585,17.855,25.47,30.864,38.084,53.916,59,60.903,63.153,62.655,60.09,61.267,66.699,68.802,81.257,65.16,56.757,63.988,67.348,70.772,74.348,78.262,82.78
Namibia,"no data","no data","no data","no data","no data","no data","no data","no data","no data",2.268,2.568,2.841,3.296,3.156,3.537,3.948,3.954,4.11,3.832,3.824,3.941,3.577,3.396,4.974,6.673,7.324,7.711,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.539,10.581,12.307,12.345,13.486,14.286,14.808,15.206,15.552,15.792
Nauru,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.031,0.03,0.029,0.023,0.037,0.044,0.048,0.066,0.101,0.094,0.099,0.085,0.097,0.109,0.131,0.125,0.125,0.146,0.151,0.151,0.158,0.163,0.17,0.176,0.182
Nepal,2.258,2.641,2.669,2.92,3.088,3.208,3.49,3.621,4.269,4.316,4.441,4.86,4.416,4.743,4.954,5.378,5.544,6.026,5.992,6.163,6.536,6.719,6.816,7.217,8.296,9.329,10.314,11.775,14.308,14.661,18.25,21.682,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.289,40.149,42.097,46.207,50.211,54.523,59.198,64.328
Netherlands,193.758,162.4,157.338,153.179,142.578,144.655,201.599,246.928,264.223,260.532,321.405,331.097,366.004,355.931,382.55,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,910.295,909.065,1013.52,993.681,1080.88,1135.12,1175.499,1214.303,1251.471,1284.13
"New Zealand",22.523,23.442,23.207,22.456,22.349,22.51,27.393,36.931,45.447,44.097,45.773,43.438,41.53,44.797,52.901,62.263,69.095,68.863,56.813,58.892,54.126,53.128,62.061,82.411,101.601,113.264,109.739,134.879,135.373,121.701,145.362,166.939,175.037,187.139,200.159,176.213,185.898,203.558,209.623,210.828,210.092,249.312,241.938,251.969,251.404,260.366,272.822,286.597,301.358
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.611,12.586,14.001,15.77,17.287,18.381,19.391,20.463,21.594,22.788
