General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.3,109.1,109.9,217.1,204.4,197.5,183.4,202,203.7,190.4,164,148.8,148.3,61.7,45.6,47.4,49.6,60.1,56.3,59.1,51.8,59.1,65.1,77.6,78.8,80.7,79.4,82.2,76.2,74,71.9,70,68.2,66.4
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.3,108,97.1,97.2,104.6,105.1,95.6,91.8,90.7,74.5,47.7,48.2,52.3,53.1,51.7,44.7,41.4,38.7,42.2,44,46.1,47.9,54,59.5,45.7,24.8,26.7,24.3,29,29.3,28.3,27.3,26.7,26.2
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.2,24,24.1,32.5,28.8,32,37.8,30.4,29.7,32.2,24.4,33.9,19.4,24.9,22.3,24.1,25.1,21.4,23.9,24.4,22.5,24.1,26.5,22.3,28.9,29.5,28.5,15.5,11.8,10,9.4,9.5,10.4,11.4
Honduras,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,236.5,135.4,123.2,111.7,85.5,65.4,64.6,70.8,67.4,75.8,65.8,63.4,64.2,67.8,60.9,55.6,39.2,24,22.3,23.8,28.9,31.5,32.4,42.1,43,42.3,40.3,43.6,43.5,44.1,52.5,50.3,51,47.9,47.1,45.1,44.1,42.1,42.1,41.9,38.1
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.9,1.7,1.4,1.2,1,0.7,0.6,0.6,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.3,1,1.9,4.3,6.3,9.2,11.7,14,14.1,14.6,14.5,14.5
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,83.9,71.2,62.2,60.4,60.3,55.6,52.2,55.6,58.2,58.9,60.6,64.5,65.6,71.8,78.2,80.2,80.5,78.4,77.2,76.5,75.7,74.6,72,68.8,65,78.7,76.2,73.9,73,73.5,74.8,75.5,76.3,77.3,78.2,78.8
Iceland,no data,no data,28.9,30.8,32.4,32,29.9,27.3,30.6,35.3,35.5,37.6,45.4,52.3,54.8,58.1,55.6,51.1,43.3,75.5,74.8,82.5,81.3,84.1,80.1,67.8,69.8,67.4,109.3,128.2,131.5,136.6,132.2,121.1,114.1,96.3,81.3,70.8,62.3,65.7,76.1,73.6,66.4,61.5,59.4,47.4,44.9,43,41.2,39.5,37.8
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.7,78.8,78.3,74.8,70.9,67.1,69,69.3,71.3,74.9,80.1,84.3,85.9,84.9,82.4,77.9,75.4,74.3,72.7,67.7,68.7,68,67.7,67.1,69,68.9,69.7,70.4,75.1,88.4,83.5,82.2,80.7,81.6,81.4,80.8,80,79.1,78.1,76.9
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.4,73.7,62.3,55.6,51.3,42.6,35.8,38.1,30.3,26.5,26.4,23.1,23,24.9,24.6,27,28,29.4,30.4,30.6,39.7,41.1,40.1,39.6,40.2,40.8,41.1,41.4,41.5,41.5,41.5
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.3,30.9,29.6,22.2,18.2,21,23.4,21.9,21.1,18.3,15.2,13.5,10.6,11.5,12.8,10.6,11.7,10.2,10.9,32.1,45.9,43.2,41.6,44.6,47.1,39.9,34.5,29.6,34,35.6,36.4,36.6,37.5,38.6,39.3
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.3,227.3,143.2,117.1,74.2,87.4,53.5,40.7,34.8,32,27.6,48.3,60.3,55.9,44.4,41.7,72.5,54.7,39,42.1,46.5,53.1,58,62.1,65.2,67.7,69.8
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.5,69.8,61.6,51.4,46.6,36.4,33.6,30.9,29.8,28.1,26.1,23.7,23.9,42.5,61.8,86.2,109.6,118.9,117.7,101.4,74,72.7,65.3,61.4,55.9,57.1,52.7,43.2,42.1,38.8,33,31.5,31,30,29,28.2
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.2,81.1,87.2,89.7,88.3,85.2,77.7,70.8,70.2,72.6,69,67.2,66.9,66,64.9,62.8,61.7,59.8,60.1,59.3,71.1,67.7,60.3,61.3,67.6,69.2,70.4,70.5,70.8,71.3,72
Italy,no data,no data,no data,no data,no data,no data,no data,no data,95.7,98.4,101.7,105.3,113,124.1,130.8,119.1,118.9,116.5,113.9,113.1,108.7,108.5,105.9,105.1,104.7,106.2,106.3,103.5,105.8,116.1,118.8,119.1,125.9,131.9,134.8,134.8,134.2,133.7,134.2,133.9,154.4,145.8,138.3,134.6,135.3,136.8,138.3,138.5,137.9,137.3,137
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,80.7,89.5,105.3,115.4,120.1,116.9,121.5,114.2,111.6,123.8,138.3,137.8,135.9,140.3,135.2,134.4,115.9,106.9,95.1,88.3,87.7,101.3,86.3,70.2,66.5,62.4,59.2,57.4,56,54.4,53,51.7
Japan,47.8,52.8,57.7,63.5,65.6,68.3,74.1,75.8,71.9,65.7,63.2,62.4,66.8,72.8,84.4,92.5,98.1,105,116,129.5,135.6,145.1,154.1,160,169.5,174.6,174.1,173,180.9,198.8,205.9,219.2,226.1,229.5,233.3,228.3,232.4,231.3,232.4,236.4,258.4,253.7,248.2,240.5,236.1,229.6,226.8,224.5,222.9,222.2,222.2
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,165.5,197.2,204.8,187,139.6,126.6,116.2,106.1,104.9,98.1,99.8,98.1,85.6,89.7,91.3,94.6,86,80.5,65.6,64.4,53.2,55.5,59.5,63.9,73.8,78.1,78.6,83.4,85,86.1,87.4,92.9,104.5,87.6,88.6,89,90.2,89.7,87.5,83.7,79.6,76.3,73.4
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.6,15,11.4,8.1,6.7,4.1,6.8,10.2,10.7,10.2,12.1,12.6,14.5,21.9,19.7,19.9,20.3,19.9,26.4,25.1,23.5,23,24.4,24.8,26.4,27.5,28.6,29.5,30.2
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.5,38.4,43.1,41.3,42,43.8,40.8,37.4,37.1,34.2,34.3,36,36.7,35.7,37.6,39.8,41.3,45.8,50.4,53.9,56.4,59.1,68,68.2,67.8,73.4,67.3,68,70.1,71,70.9,70.3,69.5
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,2.5,5,7.7,8.4,7.3,10.9,12.3,12.3,11,10.7,9.8,11.8,12.7,17,13.3,12.3,13.6,12.1,12.9,11.1,13.9,10.3,9.4,8.8,8.1,8.9,9,18.8,21.2,20.2,19,19,21,17.3,16.3,11.4,9.9,8.7,16.5,22.7,27.6,33.6,39.8
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.9,11.6,10.9,9.6,8.5,7.8,9.7,13.8,15.8,16.1,16.6,16.4,19.1,21.6,24.9,27,26.3,25.9,28.8,28.3,31.7,33.5,36,37.9,38.8,39.1,38,37.9,39.7,45.9,48,49.8,50.5,49.8,53.4,56.7,58.9,60.9,62.7,64.3
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.3,14.3,10.8,6.9,6.5,5.6,8.6,9.4,11.2,13.4,14.5,16.4,17.1,17.7,22.5,21.6,20,17.5,16.8,17.6,18.9,20.3,21.6,22.8,23.8
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.3,27.9,28.8,37.7,34.9,26.5,24.3,25.6,25.5,21.4,23,21.3,17.2,13.9,10.2,7.8,7,5.4,6.7,6.2,4.6,3.6,3.1,3.4,4.6,9.9,19.6,14.3,10.5,10.2,7.2,3,3.1,2.9,7.3,10.7,15.2,19.4,23.5,24.5
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,123.3,108.2,107.9,108.2,92.7,85.7,73.4,57.7,49,58.5,59.7,50.1,50.5,47.1,53.6,67.1,59.1,58.8,54.8,48.8,63.6,56.2,46.8,42,37.5,37.8,38.3,39.2,39.5,39.5,40
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.7,95.3,90.1,80.7,73.2,60,55.9,51.7,51.8,49.3,43,46.1,49.5,53.5,53.1,54.5,57.2,60.6,69.1,76,92.9,130.7,116.5,100.5,90.7,84.7,79.2,74.2,69.6,65.4
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.8,14.8,15.1,17.8,15.4,15.4,15.3,12.5,10.7,9,19.3,37.6,48.2,46.8,44.4,41.8,43.1,38.3,41.7,40.3,38.3,37.9,44,45.9,44.4,44.6,46.8,47.1,47.4,49,50.4,51.9,53.5
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,148.1,163.1,163.1,171.3,169.5,178.9,183.3,169.3,161.5,144.5,136.8,134.4,131.1,135.4,138.4,140.8,146.4,150,155.1,172.1,148.7,358.2,244.6,192.8,163.8,no data,no data,no data,no data,no data,no data
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,23.3,25.5,18,11.9,64.4,71.2,67,62.8,71.6,65.7,79.4,83,88.5,108.7,79.6,52.6,49.4,41,43.7,49.6,47,35.9,33.8,36.2,39.8,41.2,41.5,45.8,41.5,41,48.2,58.2,54.7,58,64.4,61.5,56.8,57.1,57.1,57.4,57.3,57.3,57.4
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,468.1,465.2,463.6,600.1,543.4,488.5,451,366.8,235.3,132.2,25.4,22.5,20.5,20.6,24.3,24.8,28.6,31.8,37.1,48.6,58.7,53.3,54.3,57.8,57.2,55.7,54.2,53.2,51.8,50.5,48
Liechtenstein,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.4,0.5,0.4,0.5,0.5,0.4,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.7,28,23.5,22.9,22.1,20.4,18.6,17.6,17.3,15.9,14.6,27.9,36.7,37.5,39.9,38.9,40.7,42.6,40,39.3,33.3,35.6,45.9,43.3,38.1,37.3,38.2,41.8,45.9,49.2,51.1,52.9,54.5
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.3,10.2,10.1,9.5,8.4,7.5,7.6,7.4,7.4,7.8,8,8.2,8.1,14.6,15.3,19.1,18.5,20.8,22.4,21.9,21.1,19.6,21.8,20.9,22.3,24.5,24.2,24.9,24.7,26.3,27.1,28.1,28.6,29.4,30.1,30.6
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,92.7,113.8,110.9,105.2,96,95.8,98.7,89.7,108.5,104.1,90.2,82.1,86.7,85.9,81.9,74.4,32.2,28.2,31,34.9,32.3,29.9,30.4,36.2,37.8,44.1,40.3,40.1,42.9,41.3,52.9,49.4,49.9,52.7,50.3,49.7,50.9,51.4,51.6,51.7,49.5
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.5,84.7,74.7,70.9,17.9,18.9,23.5,23.5,19.3,20,28.6,35.3,33.5,35.5,37.1,40,40.8,41.2,53.9,66.5,75.7,86.7,87.6,80.4,78.3,77.5,77.2,78.2,78.8
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.1,67.3,59.1,51.1,43.7,38.2,32.8,29.6,33.6,34.4,32.5,38.1,39.5,41.4,42,40.8,39.7,39.3,39.4,50.4,51.2,51.9,53.8,55.7,55.4,57,55.8,54.4,55.6,57.1,67.7,69.2,65.5,69.7,70.1,70.4,70.5,70.6,70.7,70.6,70.7
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.1,39.3,38.9,39,41.8,44.3,37.6,34.7,43.2,36.8,35.8,39,48.4,52.7,51.9,57.1,55.9,55.1,54.8,61.9,63.8,70.7,77.2,155.7,123.4,111.6,122.4,133.3,131.8,135.9,140.3,143.7,145.8,146.5
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.5,77.5,42.6,44.1,42.4,46.6,18.1,18.5,20.1,21.9,25.3,24,25.4,26.4,26.9,30.7,37.2,38.2,37.5,40.7,47.3,51.6,50.3,51.9,51.7,48.9,48,47.3,46.8,46.5,46.3
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.3,51.5,60.8,66.4,69.8,64.4,70,65.1,68.6,70.4,70.2,64.5,62,61.5,66,65,68.9,65.6,64.9,60.7,55,53.1,45.6,41.4,39.2,48.6,49.6,50.1,46.8,46.2,46.9,47.3,47.2,47.2,47.1,47.1
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7,18.1,26.1,27.3,32.7,37.2,43.7,46.8,45.8,44.4,42.2,44.1,41.2,38.8,35.9,37.6,33.4,34.9,33.9,29.2,26.5,24.7,25.1,21.7,20.1,19.8,18.2,13.2,10.6,14.9,13.2,11.9,11.4,10.9
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.5,63.5,59.5,22.9,22,71.1,38,61.5,57.2,54.3,43.9,38.8,39.3,40.7,49.5,59.9,57.6,55.7,59.2,57.7,56.5,54.5,50.5,47.1,42.8,41.2,40.6,41,40.5,40.2,41.7
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.9,58.2,63,66.9,59.4,58.3,55.3,48.8,48.8,56.8,54.4,54.9,54.2,56.5,59.1,63,62.6,61.3,63.1,81.1,91.9,86.1,81.8,81.5,87.9,88.1,87.4,84.2,81,77.9,75.1
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.5,39.1,39.7,41.7,38.5,37.3,39.9,42.1,38.9,36.8,35.8,35.5,40.6,41.7,40.2,41.2,40.8,44.1,47.1,51,55,52.5,52.2,51.9,58.5,56.7,53.8,52.6,58.3,58.9,59.9,60.7,61,61.2,61.5
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.9,43.4,47.2,42.1,35.9,27.1,23.8,24.3,24.9,25.7,25,25.4,26,29.2,31.1,29.4,28.6,27.3,27.9,28.4,26,24.6,23.9,21,19.7,21.5,17,15.1,12.9,10.9,9.3,6.8,4.9,3.4,2.7,2.4
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.5,87.5,89,159.4,150.7,89.1,85.4,80.3,68.1,49.3,40.4,35,28.3,22.2,32.6,25.5,24.2,31.3,30,35.4,42.1,39.7,34.9,31.8,28.8,36.6,33.6,35,34.9,38.8,37.8,39.2,41,42.5,43,42.7
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.9,36.1,31,48.5,31,32.7,43.7,49.4,44,50.5,78.7,86.9,76.5,66.8,83.4,67.4,64.6,46.7,44.1,46.6,49.7,53,56.1,58.5,59.9
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.7,48.6,45.4,38.6,36.7,31.8,34.2,43.9,45.1,49,57.1,59.2,63.6,69.5,66.7,66.9,72.9,79.6,108.4,86.2,70.3,59.6,60.8,60.8,61.6,61.7,62.2,63.2,64.8
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.5,59.1,67,74.7,69.3,72.2,65.3,68,64.5,63.4,64.9,60.4,59.4,56.9,54.4,54.8,50.6,47.1,42,42.6,45.3,48.6,52.3,57.1,58.6,58.4,60.1,60.3,60.5,60.3,72.2,69.4,71.4,68.7,67.7,67.2,66.6,65.8,65.2,64.6,63.9
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.7,95.8,99.8,63.4,63.2,50.8,60.1,40,31.2,32.8,39.3,38.6,34.2,36.7,49.5,63.4,86,124.8,103.8,105.5,98.3,120,104.3,100.3,90.9,93.2,97.2,99.9,100.4,99.3,91.7,76
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,208.6,150.7,164.5,262,190.6,146,126.6,119,103.1,77.4,59.8,56.4,54.4,49.9,48,44.8,34.5,36.6,35.7,41.9,39.9,37.6,49.1,63.4,56.1,59.1,59.3,63.5,63,62.6,62.5,62,62.1
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.2,16.4,18,18.7,17.7,19.6,21.8,20.9,24.4,22.2,27.1,29.2,26.9,26.1,19.4,19.1,15.9,16.3,27.4,24.6,26.1,27.6,42.1,45.8,43.8,48.7,57.6,64.3,69.6,69.4,67.2,67.7,63.6,63.3,64.4,64.9,64.9,65
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,295.6,298.9,236.8,157.3,166.9,147.7,113,86.3,78,71.1,59.6,56.3,20.5,22.4,20.5,17.4,15,13,10.8,9.2,7.8,6.7
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.8,50.8,51.8,53,51.3,45.1,42.9,37.9,36.8,39.5,35.4,32.4,34.5,31.9,27.6,25.7,25,25,31.1,34,43.3,43.3,42.7,47,48.3,49.3,49.9,49.6,49.2,48.6,48.1
Netherlands,43.6,46.9,52.4,58.4,61.9,67.1,68.9,71.3,73.7,73.7,75,74.8,75.6,76.7,73.5,73,71.2,65.7,62.7,58.6,52.2,49.4,48.7,49.8,50.1,49.6,45,42.7,54.4,56.3,58.9,61.2,65.7,67.2,67.2,63.8,60.9,56,51.6,47.7,53.4,50.5,48.4,45.9,43.8,44,45.2,45.7,46.4,47.4,48.5
New Zealand,no data,no data,no data,no data,no data,64.1,68.5,62.9,54.7,54.9,55.5,58,58.7,54.6,48.9,43.5,37.3,34.6,34.5,32,30,28.2,26.4,24.7,22.5,20.8,18.4,16.3,19,24.3,29.6,34.7,35.7,34.5,34.2,34.2,33.3,31.1,28.1,31.8,43.2,47.5,46.9,46.9,50.2,53.2,56.1,57.6,57,55.2,53
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.4,86.5,99.8,95.2,87.5,110.4,109.5,84,66.6,51.2,30.9,26,29.3,30.3,28.8,27.9,28.8,28.7,28.9,30.9,34.7,39.1,44.2,49.2,48.4,45.9,42.3,39.1,39.3,40.1,40.3,40.7,41.1,40.4
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.4,63.5,69.1,61.3,63.3,82.1,74,69,60.6,55,49.5,18.3,17.8,14.2,15.9,15.1,14.7,18.1,19.6,22.1,29.9,32.8,36.5,37,39.8,45,51.3,50.6,51.8,47.2,42.2,41.4,41.1,41.2,41.4,41.4
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.9,53.2,49.8,50.4,39.7,24.2,17.9,17.1,15.8,46.1,40.9,37.7,30.7,29.9,25.2,13.4,6.7,5.8,5.2,6.1,6.7,12.4,12.5,13,12.9,14.9,17.4,18,20.4,21.4,25.7,26.6,29.8,36.3,39.3,36.4,35,35.3,34.4,34.1,33.8
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.8,45.6,45.2,40.5,36.5,34.6,36.7,30.6,23.5,20.6,23.7,24.3,27.7,33.7,34,38,38,39.7,39.4,40.4,40.4,50.8,52.7,50.4,50.8,54.8,52.9,53.9,54.7,55.6,55.8,55.5
Norway,47.7,43.4,38.5,35.4,35.2,36.9,46,38.5,32.4,32.3,28.9,39.2,45,53.7,50.6,32.7,28.4,25.8,23.6,25,28.7,27.2,33.9,43.1,43.8,42.3,52.6,49.5,47.5,42.5,43,29.6,30.9,31.4,29.6,34.3,37.9,38.2,39.3,40.5,46,41.6,36.1,44.1,42.7,42.7,42.5,42,41.4,39.3,40
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.8,22.6,23.1,22.2,23.6,21.9,21.2,20.8,30.9,28.9,21.7,22.5,15.9,13,14.5,8.4,7.6,4.4,3.2,5.8,5.5,4.4,4.6,4.7,4,13.9,29.3,40.1,44.7,52.5,67.9,61.9,41.7,37.5,35.5,35.1,33,31.3,29.8,29.5,28.8
Pakistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.5,52.3,52.5,52.8,53.8,60.7,61.7,65.1,60.5,56.3,50.6,47.9,46.2,44.2,49.5,54.6,56.7,56.2,58.4,59.2,58.8,59.1,62.1,62.1,66.3,78.7,80.8,74.7,77.3,78.5,70.4,71.6,71.3,69.2,66.2,63.1,60.2
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.1,34.6,33.9,34.8,34.2,30.5,28.6,33.7,32,36.6,34.5,30.6,30.8,27.4,27.5,21.7,23.7,26.9,29.5,30.5,52.1,69.9,68.9,76.4,66.3,63.1,59,52.6,46.8,41.7,36.8
Panama,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.3,76.6,65,60.2,58.1,55.1,53.6,57.8,57,56.5,58.8,59.3,54.7,47.4,40,39.1,38.1,35.6,34,33.7,34.7,34.2,33.6,33.6,35.6,39.8,61.5,54.4,52.7,51.2,57.4,59.6,60.3,60.5,60.2,59.4,58.1
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1,36.6,37.8,43.9,45.7,41.8,42.3,47.7,48.4,40.4,37.2,31.6,26,22.2,21.6,21.7,17.3,16.3,19.1,24.9,26.9,29.9,33.7,32.5,36.7,38.2,48.7,52.6,48.2,53.9,52.1,50.4,50,47.3,45,42.7,40.2
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67,49.4,34.4,26.6,18.7,17.6,16.8,18,22.1,32,33.6,37.1,50.5,37.5,36,28.3,21,16.8,16,14.9,13,11.1,12.3,13.5,15.6,18.6,19.4,19.8,22.3,25.8,36.9,37.5,40.5,41.1,44.8,41.7,40.6,39.9,39.2,38.7,38.2
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.9,43.8,45.5,49.4,46.7,40.4,34.9,31.9,28.1,28.2,25.1,23.1,20.7,19.9,20.5,23.7,23.9,24.8,25.7,26.5,34.3,35.5,33.5,32.4,32.2,32.1,33.6,34.3,34.9,34.9,35.2
Philippines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.9,63.6,60.8,53.1,56.9,50.8,54.2,59.2,59.5,65.2,71.4,71.1,64.7,57.2,50.2,50,49.8,47.6,45.4,45.7,43.9,40.3,39.7,37.4,38.1,37.1,37,51.6,57,57.4,56.5,56.6,58.2,58.8,58.7,58,56.8,55.7
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.6,43,42.6,38.6,39.2,36.3,37,41.4,46.2,45,46.5,47.1,44.4,46.6,49.7,53.7,54.8,54.5,56.9,51.1,51.1,54.1,50.4,48.2,45.2,56.6,53,48.8,49.5,55.3,60,65.8,69.1,71.8,74.1,75.9
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.2,63.9,58.1,57.2,60.4,62.2,63.3,58.7,55.6,55.4,54.2,57.4,60,63.9,67.1,72.2,73.7,72.7,75.6,87.8,100.1,114,128.6,130.8,132.5,131,131.2,126,121.1,116.1,134.1,123.9,111.2,97.7,94.9,90.9,86.9,83.9,81.5,79.4,77.4
Puerto Rico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.4,36.9,40.8,46.5,48.3,50,53.7,52.3,54.5,52.7,49.9,51.2,52.4,48.8,50.2,48.9,16.7,16.6,16.9,18,18.7,19.3,19.4,19.1,18.9
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.6,21.8,19.9,46.3,54.8,50.2,57.8,54.4,76.6,81.8,51.6,59.2,47.7,38.8,30.1,19.1,13.9,9.4,11.4,36,30.4,33.5,32.1,30.9,24.9,35.5,46.7,51.6,52.2,62.1,72.6,58.4,42.6,43.7,41.2,40.6,38.8,36.7,35.9,35.6,34.9
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.6,27.4,27.4,24.9,21.3,17.8,12.7,12.4,13,22.5,30.2,32.6,36.2,39.3,40.5,39.4,39.5,37.1,36.2,36.5,49.3,51.5,51.7,52.1,57.4,61.2,62.5,64.1,66,67.8,69.1
