General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.3,54.9,55.3,54.9,49.9,49.7,56.6,62.3,65.5,65.3,64.5,66.3,67.7,68.6,73.8,88.2,95.3,99,108.8,118.4,122.4,131.6,135.3,142.8,114.2,107.6,138.2,121.6,113.7,111.5,104.8,99.8,94.6,89.5,84.7,80.2,75.9
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.2,8.1,12.3,15.8,20.3,32.5,36.8,58.2,36.9,36.9,38.8,53,53.5,53.2,47.5,41,47.5,41.2,40.8,40.7,39.9,35.8,36.7,35.2,34.3,33.7,33.1
Belgium,76.8,89.7,99.6,110.3,114.6,119.4,124.7,129.2,129.7,126.4,130.3,131.8,134.7,138.9,137.1,131.3,129,124.3,119.2,115.4,109.6,108.2,105.4,101.7,97.2,95.1,91.5,87.3,93.2,99.9,100.2,102.7,104.3,105,106.6,105.6,105.5,102.5,100.1,97.6,111.2,108.5,102.7,103.2,104.7,107.5,110.6,113.3,116.3,119.5,122.6
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.5,53.2,67.2,70.7,72.7,71.4,66.4,64.7,69.7,68.4,66.2,63.1,62.8,61.5,65.1,70.5,78.1,79,78.6,103,82.2,66.8,67.5,65.4,64.7,63.5,63.2,62.8,62.4,62
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.6,39.4,39.6,38,30.8,23.4,21.5,27,8.4,14.3,18.3,18.7,21,21.9,19.5,18.5,22.3,30.9,35.9,39.4,40.8,40.4,46.1,50.3,54.2,54.9,53.4,50.7,49.6,48.7,47.9,47.3,46.8
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.2,53.2,38.7,36.8,33,36.4,39.2,44,52.4,57.7,68.5,76,80.8,80.1,67.3,60.6,61,55.8,62.3,71.5,87.4,89.8,90.2,103,104.1,103.4,100.8,116,124.5,119.9,117.1,110.4,105.6,121.1,124.4,125.6,141.1,134.6
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.3,83,86.7,95.6,89.8,82.2,54.4,40,36.8,39.2,37.6,35.3,35.4,36.1,37.6,40.9,46.5,51.3,53.1,58.6,78,81.4,80.1,90.8,98,93.7,no data,no data,no data,no data,no data
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.4,56,34.6,35.1,31.1,27.6,25.5,24.9,20.6,18.2,30.3,36.4,42.2,40.9,43.6,43.8,47.1,46.4,44.9,38.6,34.5,32.8,37.2,35.8,31.2,29,29.5,30.6,31.6,32.5,33.4,34.3,35.4
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.3,9.3,8.2,7.5,8.4,7.1,10.7,7.5,6.1,5.9,7.8,22.4,26.5,27.9,26.4,23.8,23.9,24.5,22.3,19.6,19.6,21.5,23.5,22.3,21,22.5,29.9,38.8,44.8,49.1,51.7,53.8,56.1
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.2,67.3,76.1,71.5,68,67,64.6,63,61.4,64.7,62.4,60.6,61.6,59.6,61.6,71.7,77.4,82.7,84.8,87.1,96,88.9,83.9,84,87.3,91.4,95,97,98,98.2,98.1
