"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8858.723,8533.805,9434.1,10435.619,11147.819,11887.329,12437.91,12350.477,13621.226,14631.332,15713.743,16912.255,18083.231,19434.467,21047.433,22714.162,23607.279,22159.977,22182.055,22691.149,22661.862,23083.331,23655.085,24723.192,26104.918,27892.637,29787.676,33066.74,31598.846,36915.837,42675.312,45675.265,48696.916,51453.311,53838.759,56213.761,58641.295,61190.446,63928.622
Cyprus,6078.714,6771.633,7556.418,8162.495,9080.53,9698.015,10127.906,10999.258,12206.274,13512.747,14746.804,14958.189,16301.559,16396.695,17368.335,19298.945,19592.265,20150.35,21336.771,22465.889,24075.902,25332.551,26381.742,27291.73,29060.951,30990.832,32960.104,34926.348,36022.104,34595.918,34844.347,34835.353,33375.254,31676.869,31760.336,33119.308,35511.584,37957.559,40528.045,44699.432,42854.035,50173.854,57061.259,59408.267,62305.062,65304.132,68028.732,70857.823,73968.953,77350.098,80941.294
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15601.878,16625.458,16831.282,16970.03,17463.493,18596.172,19657.707,20326.606,21430.016,23042.435,25271.335,27708.888,29931.942,31035.579,29493.768,30556.212,31664.824,31948.813,32446.012,33764.198,35679.615,36806.635,39288.117,41560.489,45519.879,44823.06,49943.717,53439.629,55325.293,56953.376,59853.135,62343.613,64858.071,67444.676,70206.016,73182.884
Côte d'Ivoire,2582.721,2860.707,2930.066,2825.038,2790.448,2871.197,2953.594,2899.277,3007.683,3092.091,3048.312,3031.124,2975.295,2766.995,2748.569,2878.905,3082.718,3200.917,3279.28,3285.532,3198.988,3183.947,3091.119,3022.856,3055.019,3115.956,3170.094,3221.34,3273.293,3306.035,3318.833,3133.187,3439.894,3716.546,3999.447,4271.378,4492.756,4775.636,5029.584,5598.835,5610.457,6096.749,6755.158,7249.668,7656.497,8112.673,8542.8,8993.531,9471.963,10025.798,10605.157
Denmark,12427.419,13497.291,14902.966,15905.277,17209.184,18494.195,19740.091,20289.55,21043.606,22018.771,23197.564,24279.315,25258.418,25744.058,27600.012,28928.722,30108.758,31453.461,32424.803,33741.367,35678.91,36698.147,37304.154,38100.996,40107.185,42232.126,45063.654,46572.896,47024.099,44668,45733.843,47069.987,47773.198,49068.753,50340.277,51577.438,53221.935,55427.449,57356.837,60682.02,62775.249,70151.526,75045.701,77512.855,81806.125,84762.884,87540.2,89767.325,91778.158,94299.646,96881.152
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2602.029,2640.571,2506.593,2509.636,2441.592,2344.175,2294.266,2255.768,2288.855,2299.566,2343.081,2410.649,2494.189,2591.617,2715.052,2892.076,3077.221,3274.264,3301.367,3428.825,3695.505,3880.829,4073.123,4365.973,4649.454,4946.164,5225.282,5681.89,6036.474,6182.554,6668.109,7408.625,8140.148,8772.108,9407.651,10030.349,10686.179,11329.809,12027.225,12798.679
Dominica,no data,2173.079,2411.276,2579.029,2794.304,2934.181,3216.55,3516.823,3939.609,4101.024,4501.228,4733.163,4938.893,5164.836,5276.485,5549.881,5826.485,6055.976,6354.631,6466.879,6767.526,6914.987,6828.628,7411.104,7848.108,8153.102,8802.316,9622.04,10513.206,10461.718,10675.226,10990.132,11154.961,11202.516,11807.407,11469.672,11890.468,11588.946,13051.491,14290.879,12505.036,14212.229,15993.015,17279.767,18244.35,19381.056,20276.325,21106.991,21926.197,22737.632,23631.949
Dominican Republic,2494.664,2783.823,2937.572,3119.9,3196.112,3150.682,3247.507,3576.689,3694.56,3921.562,3771.444,3868.398,4321.963,4664.319,4803.702,5097.914,5412.616,5901.916,6267.704,6634.12,6996.917,7231.93,7571.965,7514.85,7815.838,8712.533,9693.236,10574.814,11004.181,11063.274,12012.383,12517.493,12967.995,13692.841,14772.843,15797.156,16858.738,17670.647,18899.132,20789.082,20016.182,23284.164,26033.088,27363.748,29192.264,30537.613,32231.636,34101.715,36099.068,38246.646,40571.474
Ecuador,3103.092,3430.689,3584.651,3522.237,3701.487,3882.9,3979.891,3739.844,4169.059,4240.163,4426.491,4701.483,4872.316,4979.184,5194.965,5321.386,5418.94,5660.663,5823.196,5544.134,5647.367,5922.139,6203.28,6393.685,6890.957,7359.816,7774.403,7990.192,8526.276,8519.79,8809.694,9575.898,10131.213,10852.01,11308.432,11234.025,11083.519,11770.105,12166.664,12530.831,11539.699,13559.634,15288.802,16061.347,16012.389,16805.019,17315.232,17888.811,18507.895,19210.67,20004.889
Egypt,2170.179,2360.655,2617.859,2883.172,3139.673,3381.683,3522.675,3683.294,3885.85,4069.192,4281.938,4428.119,4450.479,4544.411,4741.335,4943.636,5172.002,5452.068,5813.139,6125.691,6457.273,6699.271,6883.074,7093.985,7440.584,7858.311,8475.233,9144.518,9775.189,10067.556,10469.357,10630.773,10801.422,11066.302,11295.239,11603.042,11953.015,12117.554,13418.954,14532.979,16551.424,16930.47,19060.801,20197.388,20779.725,21758.838,22690.664,23674.833,24749.969,25950.232,27026.119
El Salvador,2291.015,2337.699,2307.518,2420.269,2525.517,2600.655,2631.224,2731.108,2840.583,2933.959,3136.32,3246.559,3505.043,3746.915,3968.558,4208.17,4288.054,4468.552,4610.055,4749.724,4887.646,5020.651,5163.093,5336.748,5523.367,5850.024,6295.732,6578.449,6825.688,6703.586,6904.971,7290.009,7605.096,7875.299,8117.582,8361.054,8631.37,8965.267,9203.773,9756.777,9392.645,10809.682,11873.347,12688.978,13282.95,13876.768,14407.366,15013.43,15651.965,16290.519,16975.893
Equatorial Guinea,334.935,366.615,369.702,372.8,362.914,398.196,378.674,390.578,402.551,401.409,414.282,409.736,539.591,590.115,680.13,847.62,1269.715,3081.478,3738.122,4602.685,9515.063,14950.062,17435.19,19523.214,25051.652,26758.667,28082.972,31763.839,36421.575,35476.124,31258.975,32509.194,34337.269,32083.48,31452.117,27723.82,24556.627,22720.409,23009.456,20201.904,16693.918,20370.66,21832.316,20848.963,20930.447,20493.834,20377.249,20377.852,20437.165,20671.072,20967.05
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,763.075,889.273,1108.653,1165.564,1300.056,1427.599,1464.681,1467.558,1283.819,1377.767,1379.654,1306.346,1301.405,1324.66,1310.104,1328.822,1067.665,1183.07,1306.466,1653.294,1696.833,1530.668,2020.603,1603.317,1720.68,1559.463,1765.072,1821.279,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7860.336,8079.987,8595.234,9321.773,10842.995,11551.148,11630.508,13030.598,14197.698,15515.923,17131.337,18901.009,21472.641,24439.444,27125.444,26301.39,22635.502,23525.455,25915.921,27465.939,28525.402,30047.038,30881.854,32130.221,34506.668,37121.032,40586.344,40672.084,45059.345,47039.427,46698.803,47743.406,49087.453,50758.42,52629.194,54530.701,56559.675,58721.215
Eswatini,1558.187,1761.824,1833.029,1829.603,1876.129,1905.435,2226.919,2426.711,2614.693,2880.813,3187.746,3262.947,3358.659,3462.333,3541.709,3711.879,3847.56,3960.32,4039.917,4157.811,4278.093,4384.902,4623.253,4879.541,5174.67,5633.551,6122.472,6525.964,6659.727,6757.312,7049.718,7307.535,7792.556,8173.953,8372.805,8553.07,8957.266,9161.597,9100.618,9848.448,9905.064,10607.812,11370.419,12070.776,12584.097,13310.106,14025.933,14619.283,15160.997,15702.11,16271.677
Ethiopia,367.381,392.669,409.26,444.598,435.702,385.503,417.755,472.095,475.946,476.485,490.563,454.876,409.616,459.619,470.197,493.766,554.114,563.384,531.041,557.203,609.384,652.256,655.936,638.245,713.537,807.639,904.764,1004.557,1101.204,1187.91,1296.098,1439.382,1555.198,1695.206,1854.273,2017.419,2148.87,2353.893,2471.908,2659.167,2870.372,3102.504,3460.481,3786.734,4088.522,4419.777,4743.371,5113.888,5524.883,5962.461,6426.789
Fiji,2971.518,3365.816,3444.595,3343.745,3734.305,3649.631,3932.322,3725.031,3985.308,4624.485,5034.932,5024.119,5408.742,5636.098,6002.704,6249.998,6606.981,6500.423,6587.626,7200.458,7196.353,7472.201,7777.322,7935.246,8536.187,8634.643,9036.798,9114.751,9375.691,9241.097,9581.037,9990.744,10269.046,10896.346,11655.317,12240.627,12604.71,13310.275,13626.824,13258.685,10883.443,10440.819,13088.692,14766.907,15576.314,16366.006,17074.166,17800.693,18554.97,19359.844,20231.586
Finland,9995.54,11044.626,12027.953,12810.488,13620.164,14476.792,15118.614,15995.905,17377.22,18916.928,19587.2,18967.121,18643.039,18838.602,19913.152,21104.518,22199.197,23954.16,25470.004,26899.895,29026.442,30405.926,31316.13,32505.528,34627.15,36586.713,39089.36,42110.285,43065.966,39638.998,41197.438,42861.116,42787.214,42887.378,43229.816,43670.461,45091.092,47277.069,49270.069,52311.043,53337.577,57425.707,61818.01,63323.769,64695.911,66512.47,68547.323,70614.407,72759.114,75007.783,77390.283
France,10758.925,11851.007,12813.135,13405.269,14058.492,14675.073,15248.451,15949.618,17195.4,18588.125,19714.658,20549.038,21207.389,21514.518,22418.85,23368.026,24032.481,24976.208,26041.542,27169.897,28813.807,29792.21,30373.724,31058.142,32473.946,33895.891,35705.731,37339.378,37943.053,36936.704,37891.128,39437.926,40074.472,40930.741,41700.402,42320.642,42920.249,44564.774,46496.123,51224.78,49598.675,54017.12,59162.288,62174.962,64241.542,66060.528,67671.187,69426.891,71251.101,73195.04,75259.89
Gabon,7947.47,8171.654,8837.942,9166.11,9747.836,10410.307,10173.077,8629.841,9047.824,10619.865,11335.191,12047.557,11579.889,12030.527,12432.817,12999.818,13383.131,14044.024,14337.361,12916.956,12644.675,12885.191,12734.483,12953.878,13067.235,13660.998,13239.628,14058.636,13386.563,12820.861,13423.587,14135.027,14599.492,15077.581,15459.394,15688.786,15763.971,15761.197,16586.908,17385.296,15952.327,20623.789,22482.273,23364.787,24218.865,24738.797,25289.222,25873.871,26463.879,27107.523,27801.27
"Gambia, The",1082.71,1009.933,1248.749,1416.421,1302.449,1337.946,1342.247,1358.466,1374.115,1431.312,1507.787,1529.932,1529.822,1536.169,1464.903,1498.552,1524.594,1504.639,1571.248,1643.661,1719.149,1801.074,1713.99,1809.149,1926.759,1881.099,1870.534,1921.245,2019.87,2104.275,2189.123,1991.602,2071.289,2102.28,2045.936,2085.039,2082.577,2157.112,2396.833,2533.134,2631.596,2871.409,3149.868,3330.891,3490.755,3680.027,3822.215,3962.183,4105.897,4260.147,4425.605
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1920.107,2090.896,2439.738,2839.312,3041.098,3243.052,3444.661,3762.672,4077.467,4654.58,5092.839,5786.594,6575.654,7633.39,8020.62,7813.253,8522.217,9454.664,10358.464,11137.826,11800.116,12292.16,12813.996,13724.766,15009.736,16755.191,16817.378,18814.285,22603.537,24952.269,28299.36,31089.681,33340.397,35638.038,38041.95,40690.668,43563.834
Germany,12009.557,13135.556,13847.202,14664.293,15686.292,16577.996,17308.672,17994.976,19208.526,20537.655,22101.927,23687.138,24553.941,24752.272,25873.148,26761.993,27479.425,28456.301,29404.132,30463.315,32036.804,33270.456,33683.126,34178.51,35546.642,37041.372,39736.308,42086.798,43401.227,41389.105,43736.008,46320.969,47338.617,48255.042,50014.865,50947.606,52237.705,54551.288,56834.111,59953.265,59444.32,63974.512,69311.197,70601.01,71796.542,73553.296,75480.389,77813.712,80001.27,82183.329,84291.028
Ghana,958.843,982.179,928.893,878.387,970.069,1042.462,1104.686,1180.079,1269.837,1345.522,1409.625,1488.888,1551.877,1623.872,1675.947,1741.904,1815.416,1907.85,1977.267,2045.507,2113.299,2184.635,2258.066,2355.886,2483.314,2650.324,2816.783,2934.346,3178.45,3296.435,3509.591,3984.872,4295.697,4573.612,4674.315,4707.868,4802.365,5170.964,5536.496,6002.551,6047.302,6607.504,7207.889,7562.626,8038.82,8410.294,8812.69,9240.49,9691.254,10180.362,10709.71
Greece,9439.035,10049.012,10487.705,10711.413,11262.292,11853.511,12118.251,12094.251,13017.838,13983.282,14416.644,15139.485,15450.379,15468.445,16024.219,16630.593,17084.307,17935.702,18648.41,19316.648,20518.416,21833.789,23100.023,24858.798,26839.562,27933.371,30553.239,32389.394,32957.884,31698.251,30189.969,27759.303,26006.908,26043.07,26894.315,27253.512,27693.158,28645.684,29769.073,31918.392,29478.097,33233.409,38429.257,40959.877,42985.074,44985.382,46799.954,48359,50000.542,51750.478,53626.717
Grenada,2305.573,2513.852,2703.569,2814.733,2956.389,3184.603,3479.756,3919.191,4231.017,4618.386,5025.727,5262.335,5300.114,5261.497,5411.41,5593.201,5903.207,6265.205,7052.088,7620.835,8155.549,8146.134,8481.057,9403.612,9599.19,11243.375,11098.943,12066.245,12377.851,11644.18,11740.733,11890.215,11868.036,12242.195,13272.852,14165.924,14726.434,15577.303,16507.359,16943.246,14768.09,15681.868,17925.594,19329.047,20351.708,21414.454,22426.984,23419.84,24365.649,25333.41,26371.833
Guatemala,3171.708,3407.501,3403.377,3361.405,3413.044,3412.279,3397.376,3516.418,3688.752,3887.438,4058.398,4206.047,4381.8,4516.043,4648.456,4825.356,4922.169,5080.69,5238.377,5372.184,5499.016,5665.681,5839.255,5971.002,6184.931,6446.797,6854.68,7330.531,7561.021,7493.139,7649.852,7972.241,8197.368,8477.672,8839.52,9118.012,9278.588,9560.174,9946.804,10755.878,10947.371,11825.141,13011.942,13756.657,14389.515,15100.087,15720.567,16347.174,17009.796,17740.213,18541.62
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1076.073,1080.72,1076.687,1092.646,1102.248,1129.454,1163.217,1214.326,1248.534,1292.509,1332.376,1388.526,1458.275,1479.651,1525.975,1587.701,1639.414,1749.203,1808.556,1744.614,1792.46,1882.725,1979.791,2040.558,2099.431,2146.325,2342.607,2566.02,2718.324,2970.821,3189.645,3580.528,3890.267,4181.479,4434.673,4751.115,5213.047,5725.341,6290.153,6948.575,7442.665
Guinea-Bissau,707.084,754.292,817.375,803.627,860.36,906.691,896.862,951.992,985.203,1032.937,1098.431,1191.484,1228.476,1257.753,1293.582,1343.762,1388.9,1465.345,1124.681,1304.137,1319.931,1384.573,1426.965,1420.595,1444.862,1554.305,1609.942,1659.536,1729.592,1743.181,1849.248,1996.086,1955.407,2009.236,2019.519,2116.722,2201.79,2297.997,2276.179,2318.515,2314.153,2525.711,2768.25,2957.008,3109.654,3279.352,3435.06,3593.843,3741.6,3901.807,4062.224
Guyana,2613.593,2871.149,2779.472,2563.793,2726.061,2840.073,2913.064,3008.724,2954.97,2955.196,2998.291,3295.646,3631.241,4012.121,4426.912,4722.068,5169.734,5553.691,5497.775,5718.753,5754.062,6007.2,6171.144,6256.742,6528.91,6599.904,7137.776,7824.794,8111.433,8398.624,8848.688,9484.512,10121.128,10627.377,10951.644,11085.731,11522.48,12095.585,12590.932,13630.708,17258.77,23624.836,41208.385,56992.63,83604.354,94189.295,117535.257,144161.038,165419.222,187530.94,192509.223
Haiti,1715.246,1863.668,1889.581,1899.97,1937.6,1978.316,1987.77,1992.233,2049.679,2063.925,2088.797,2146.895,2105.185,2007.645,1774.204,1953.185,2033.046,2085.208,2115.92,2165.27,2195.386,2200.303,2222.082,2308.147,2302.383,2408.616,2485.847,2629.681,2706.591,2836.817,2665.516,2813.708,2834.882,2960.619,3016.614,3075.08,3113.143,3200.275,3080.717,3057.23,2971.271,3004.66,3122.391,3135.553,3038.691,2976.222,2953.792,2977.85,3022.03,3073.734,3136.332
Honduras,1646.422,1724.956,1739.621,1769.257,1890.483,1998.035,2084.386,2211.478,2261.579,2346.332,2431.564,2362.066,2491.252,2640.567,2627.397,2768.644,2791.026,2885.759,2938.06,2875.997,3070.462,3140.362,3224.2,3351.717,3567.666,3810.096,4089.404,4360.601,4532.605,4356.939,4482.762,4659.316,4850.5,4979.801,5129.899,5283.507,5445.688,5711.331,5729.331,5887.529,5480.914,6309.195,6916.449,7300.583,7613.97,7955.753,8237.528,8527.419,8839.915,9175.32,9535.117
Hong Kong SAR,6607.692,7714.8,8299.785,8989.741,10093.22,10354.323,11597.992,13358.46,14857.699,15640.519,16772.691,18129.227,19456.598,20763.511,22041.219,22483.772,23144.696,24554.251,23132.794,23851.85,25972.257,26631.403,27511.714,28748.17,31931.405,35158.446,38417.895,41803.208,43355.841,42352.816,45407.206,48183.217,49486.792,51602.905,53639.576,54999.342,56203.876,59088.281,60614.794,61118.848,58612.912,65988.196,67430.05,71649.038,75541.065,78918.785,81642.938,84231.635,86926.77,89980.027,93231.73
Hungary,6308.111,7105.52,7766.742,8146.948,8690.834,8978.098,9333.735,10000.493,10390.997,10922.547,10983.973,10006.708,9920.673,10105.68,10641.098,11154.603,11387.959,11952.459,12577.559,13183.805,14119.628,15056.41,16052.982,17070.04,18444.486,19878.242,21341.758,22016.85,22711.303,21340.896,21868.008,22810.775,23048.898,24006.991,25600.22,26876.189,27895.521,29687.587,32234.892,35608.218,35515.348,39134.22,43894.109,45181.717,46613.422,48156.868,50176.21,52293.786,54531.995,57014.767,59709.65
Iceland,12524.042,14145.382,15154.404,15189.581,16189.774,17094.662,18410.131,20314.783,20723.397,21218.191,22105.929,22617.041,22019.74,22606.257,23680.531,24031.66,25478.776,26799.753,28733.944,29910.637,31704.859,33151.636,33469.767,34679.753,38049.951,41571.437,44330.528,48259.495,48790.333,44455.274,44236.583,46622.09,47839.735,49984.568,51194.938,53068.524,56378.313,58232.23,59895.049,63215.358,58834.905,65517.388,74982.204,79543.758,78937.317,80466.384,81997.606,83637.82,85277.854,87139.401,89119.494
India,533.143,604.272,648.594,706.393,742.231,787.396,822.415,856.454,950.392,1023.275,1095.792,1120.276,1183.156,1242.374,1326.013,1427.33,1532.277,1590.244,1674.828,1813.943,1890.423,1988.684,2058.779,2225.513,2424.76,2655.27,2911.89,3171.771,3285.052,3513.992,3803.21,4027.657,4267.465,4556.133,4916.581,5295.455,5718.586,6144.716,6714.967,7150.923,6966.277,8050.019,9205.657,10331.98,11176.184,12100.965,12964.269,13908.467,14927.445,16047.186,17277.755
Indonesia,1108.676,1280.542,1363.269,1447.441,1582.002,1662.898,1783.078,1909.607,2073.928,2305.48,2556.535,2832.017,3035.156,3299.565,3565.002,3874.674,4205.51,4427.95,3845.525,3885.913,4124.152,4309.204,4508.776,4749.843,5050.913,5428.429,5820.651,6268.284,6767.976,7029.645,7462.433,7940.979,8456.574,8954.663,9439.798,9873.843,10335.112,10932.638,11621.366,12236.943,11929.526,12947.903,14443.788,15566.433,16582.359,17633.888,18657.066,19726.828,20853.711,22113.047,23491.537
Iran,4378.496,4349.786,5474.992,6082.556,5632.219,5696.323,5045.413,5037.553,4780.354,5145.754,5918.409,6731.013,7008.656,6966.913,6893.755,7103.033,7581.239,7695.782,7835.222,8018.357,8542.262,8795.514,9496.049,10260.994,10828.166,11350.397,12092.687,13238.727,13390.173,13435.541,14200.838,15111.389,14642.875,14479.212,15276.495,15011.82,15945.74,16486.632,16077.165,14594.196,15782.355,16716.017,18497.449,20002.82,21038.083,21473.13,21881.558,22381.216,22970.606,23607.76,24286.071
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3869.281,5931.361,6060.006,6437.552,6578.251,7086.729,7192.171,7545.736,8074.595,9135.847,9748.961,9540.221,9813.391,11204.428,10939.446,12859.969,13062.877,11181.921,13380.409,15050.807,15360.427,15329.865,15390.569,15847.64,16292.562,16798.122,17388.128,18031.031
Ireland,8158.694,9042.233,9641.99,9878.345,10488.022,10996.111,11263.141,11942.583,12791.4,14124.105,15799.146,16507.952,17346.831,18069.252,19478.514,21701.434,23943.055,26692.322,29050.676,32193.379,35499.105,37632.219,39779.3,41110.321,44217.679,47072.447,49518.965,52067.121,49893.937,47316.67,48474.465,50087.902,50590.814,52288.283,57732.727,71898.976,72443.666,80070.04,85978.405,91692.623,97420.684,115859.977,130403.276,129608.36,133987.087,147878.191,150865.329,155849.38,160780.246,165858.435,171428.339
Israel,7608.551,8659.744,9161.389,9563.196,9998.309,10585.475,11010.855,11934.286,12585.76,13040.33,13986.111,14243.817,15071.007,15597.694,16619.082,18111.654,19039.018,19578.258,20113.836,20552.136,22211.691,22240.999,22104.809,22452.706,23706.346,25069.214,26804.366,28760.596,29717.653,29555.792,30998.804,32771.029,33562.57,34873.157,36100.925,36518.451,37785.733,39366.945,40116.636,41190.549,40972.688,46260.657,51690.282,53074.32,54126.235,55766.414,57914.57,59713.224,61565.415,63598.707,65789.789
Italy,11054.499,12652.081,13478.794,14160.597,15144.411,16053.865,16842.639,17812.003,19208.551,20623.725,21817.291,22858.838,23562.87,23895.267,24921.246,26177.304,27063.108,28044.079,28856.786,29753.696,31600.902,32939.249,33522.268,34091.309,35261.59,36371.632,38007.79,39458.277,39475.609,37346.804,38205.306,39095.663,38478.448,38312.149,38934.586,39677.106,40638.144,42097.133,43539.369,46593.61,44284.701,50377.31,56759.31,59313.602,61254.174,63125.675,64809.222,66353.04,67995.289,69807.994,71773.099
Jamaica,3183.302,3574.451,3846.785,4081.737,4259.623,4289.71,4640.681,5084.878,5024.394,5456.164,5833.658,6041.446,6303.49,6541.321,6746.858,6998.266,7076.572,7012.165,6936.942,7036.212,7185.073,7376.022,7497.936,7897.859,8188.126,8489.962,8973.532,9316.659,9385.146,9088.911,9035.586,9328.024,9429.346,9599.344,9814.431,10032.86,10399.387,10811.605,11103.615,11198.748,10098.012,10801.277,12300.497,13091.025,13329.055,13924.09,14377.608,14828.328,15285.157,15775.759,16302.052
Japan,8800.027,9970.132,10856.993,11611.353,12479.54,13454.365,14102.047,15050.83,16549.425,17975.127,19485.591,20771.982,21361.108,21696.691,22337.983,23346.612,24465.497,25071.797,24964.62,25185.818,26417.417,27052.325,27426.44,28345.164,29720.361,31200.987,32606.041,33983.429,34231.458,32517.785,34249.99,34900.287,36117.685,37533.424,38364.455,39368.764,40047.948,41518.116,42247.099,42817.548,42564.675,44656.82,48458.11,51113.892,52688.001,54815.317,56444.311,58066.609,59667.38,61384.438,63223.476
Jordan,3978.389,4812.038,5184.017,5225.131,5460.274,5325.539,5498.729,5528.7,5623.382,4978.372,4834.157,4476.352,5072.671,5141.597,5253.214,5453.071,5474.337,5624.507,5735.881,5876.289,6131.289,6445.438,6828.185,7078.291,7674.933,8392.314,8774.335,9166.299,9791.53,10121.587,10253.752,10481.502,10781.537,10545.058,9857.823,9299.519,9123.074,9282.608,9044.507,9405.458,9523.548,9115.022,9899.617,10514.301,10997.073,11510.847,11981.241,12450.791,12921.847,13417.47,13937.423
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6828.396,6402.845,6114.925,5776.592,5986.311,6312.287,6359.473,6647.466,7473.288,8687.89,9687.066,10760.755,12026.889,13486.826,15228.629,16839.556,17515.655,17371.062,18601.049,20118.738,21217.15,22525.028,23553.614,23661.927,23761.926,24791.435,25999.02,29769.063,30165.766,34234.016,36619.813,39379.309,41752.129,44777.865,47263.287,49539.411,51350.824,53485.172,55798.572
Kenya,1378.921,1514.744,1630.37,1662.191,1691.738,1758.038,1859.005,1945.219,2064.229,2169.507,2279.815,2314.84,2271.959,2256.112,2295.929,2377.443,2452.475,2440.074,2467.972,2477.725,2473.689,2560.589,2545.688,2597.334,2714.454,2879.394,3060.466,3264.645,3244.385,3282.894,3506.842,3676.764,3829.085,3944.517,4115.285,4269.19,4389.964,4526.682,4773.528,5042.165,5128.462,5711.521,6301.921,6788.376,7159.907,7556.076,7929.386,8326.04,8740.359,9186.108,9665.494
Kiribati,932.98,1062.657,1068.748,1025.938,1187.321,1031.784,1001.413,1013.98,1249.718,1174.461,1112.609,1069.959,1337.418,1348.413,1385.551,1433.035,1434.118,1451.323,1507.182,1444.107,1550.015,1507.433,1525.039,1503.075,1506.458,1545.43,1649.203,1708.426,1653.354,1636.832,1641.291,1706.999,1815.416,1962.802,1995.537,2211.373,2352.164,2444.097,2545.46,2628.959,2582.968,2882.728,3176.821,3327.334,3535.257,3704.847,3832.525,3933.338,4020.399,4114.37,4213.681
"Korea, Republic of",2199.594,2545.929,2887.205,3354.484,3798.079,4187.799,4716.389,5402.889,6210.971,6848.918,7740.889,8785.62,9457.791,10254.474,11340.33,12578.1,13700.676,14674.224,14004.804,15740.69,17432.121,18524.335,20152.219,21072.419,22670.69,24348.952,26277.959,28422.675,29614.869,29887.594,32202.01,33817.494,35139.529,36746.215,38346.444,39623.062,41104.719,43155.911,45511.086,46511.218,47881.49,51880.379,57193.172,60201.551,62885.478,65080.293,67554.25,70274.226,73078.716,75939.156,78970.775
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5005.584,5351.322,5272.345,5420.044,5277.246,5618.517,5915.868,6489.355,6652.059,6918.451,7234.856,7732.339,8135.97,8615.762,8946.824,9638.614,10346.144,10976.415,11724.238,12608.461,12216.667,14289.865,16124.089,17580.597,19037.335,20392.96,21666.255,22943.528,24238.044,25639.299,27151.967
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36860.186,36768.643,35659.015,34744.016,34662.98,35483.613,33998.765,35873.104,36009.723,36350.15,42302.879,46583.658,56587.911,60477.431,63578.83,57635.923,53887.884,50428.632,50978.964,52445.414,51537.929,50508.332,48904.016,48856.58,45771.221,50248.116,50450.879,42076.157,50364.888,52692.931,52422.546,51322.047,52866.096,54833.121,55920.204,56976.625,58109.612,59361.775
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2489.763,2180.359,1778.006,1709.293,1835.137,2023.244,2058.081,2130.077,2264.601,2415.367,2429.724,2627.988,2854.102,2902.522,3053.315,3366.074,3661.456,3748.52,3727.371,3987.215,4003.592,4427.468,4593.829,4719.358,4868.029,5088.044,4921.011,5471.463,5345.188,5906.108,6750.993,7481.737,8187.817,8870.37,9318.472,9815.132,10282.66,10803.539,11349.267
Lao P.D.R.,585.413,725.161,788.123,822.364,882.936,967.291,1006.065,992.833,978.169,1085.954,1158.168,1209.481,1285.995,1355.134,1457.541,1553.586,1652.031,1757.77,1819.543,1886.139,2018.544,2127.679,2272.293,2424.455,2631.976,2860.833,3162.515,3448.281,3731.267,3970.215,4276.504,4645.077,5028.408,5447.492,5883.419,6279.648,6682.186,7159.945,7511.151,7790.914,7756.007,8029.626,8733.367,9257.759,9762.071,10212.326,10519.788,10826.831,11138.701,11476.505,11843.239
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5883.766,5352.627,5674.846,5960.711,6287.519,7052.853,7675.008,8074.837,8804.426,9699.673,10753.669,12001.825,13534.489,15765.851,18516.215,21179.44,21017.953,17993.378,17895.518,19235.69,21331.552,22379.053,23505.494,24811.753,25910.247,27534.194,29706.772,32096.046,32617.399,35438.975,39005.228,41442.718,42534.944,44105.521,45961.77,47928.857,49956.042,52167.043,54546.233
