"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Bahamas, The",12865.902,13419.157,14800.22,16058.959,16665.889,17666.368,18177.225,18994.875,19697.83,20588.136,21225.615,20670.371,19984.989,20170.716,20886.819,21807.152,22752.762,23885.562,24879.781,26600.047,27812.376,28732.465,29510.286,29265.15,29867.905,31385.105,32689.699,33577.553,32961.183,31341.12,31771.625,32298.84,34073.414,33323.877,34182.371,34490.026,34064.089,35474.556,36280.768,36990.839,27655.424,31223.121,36621.802,38708.853,40563.879,42002.508,43223.311,44296.419,45372.36,46441.121,47546.442
Bahrain,18581.756,20102.128,21916.292,23563.949,24607.323,24311.852,24072.054,23527.668,24911.233,25240.668,26868.465,27275.895,29397.361,31541.552,32386.27,32825.78,33616.081,34088.2,35203.141,36849.743,39279.664,39687.236,38767.237,39055.603,39820.772,40638.72,41276.021,42426.369,43269.935,41804.64,42346.38,45289.241,47334.608,48899.222,49471.921,49100.547,49527.9,50184.465,51993.131,56599.484,53436.032,54954.676,61667.828,64223.768,67039.288,69270.719,71463.972,73594.436,75596.668,77823.405,80248.873
Bangladesh,647.963,717.074,759.376,799.742,849.119,880.817,912.366,944.694,973.532,1012.269,1085.84,1133.387,1190.751,1247.386,1297.986,1361.098,1419.514,1477.3,1538.941,1600.894,1690.488,1782.374,1845.558,1937.359,2060.144,2230.258,2419.611,2628.146,2807.52,2934.397,3100.476,3330.677,3572.447,3807.441,4061.872,4319.664,4620.214,4959.53,5563.893,6116.365,6705.448,7485.821,8492.589,9219.191,9747.474,10257.554,10847.228,11548.327,12305.799,13241.784,14249.379
Barbados,5961.667,6379.313,6422.299,6689.316,7161.266,7447.651,7959.82,8340.727,8905.425,9553.405,9550.154,9455.406,9088.031,9345.59,9701.917,10069.715,10621.381,11274.165,11782.971,11945.311,12716.139,12655.345,12915.851,13418.257,13930.276,14886.715,16154.968,16897.973,17271.39,16470.091,16233.358,16398.924,16573.89,16620.121,16883.556,16846.607,17264.116,17551.344,18179.889,18370.784,15483.649,15331.637,19301.649,20782.505,22094.327,23183.92,24035.363,24864.211,25708.152,26613.97,27585.454
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4992.596,4711.885,4254.428,3881.512,4076.306,4643.133,5116.025,5376.331,5831.71,6284.009,6747.265,7417.491,8547.197,9715.318,11084.201,12422.788,14003.316,14148.539,15477.663,16661.5,17270.775,17734.66,18492.971,17925.991,17623.667,18413.748,20025.982,22301.593,24872.307,27029.591,27871.311,30258.438,32414.342,34069.078,35337.543,36706.069,37951.431,39128.081,40364.004
Belgium,11668.096,12725.698,13604.575,14176.468,15058.027,15783.257,16392.56,17176.069,18600.991,19896.46,21245.49,22278.945,23054.612,23266.468,24451.678,25484.078,26261.268,27653.375,28451.216,29813.136,31543.369,32531.06,33449.481,34310.427,36348.84,38177.514,40107.805,42413.917,43089.026,42187.277,43506.015,44599.69,45218.936,45871.977,47312.86,48212.447,48929.863,50359.865,52597.806,56878.238,56198.704,62045.209,68914.071,71551.638,73609.457,75882.366,77704.617,79718.181,81706.813,83925.077,86347.4
Belize,1555.096,1702.471,1640.616,1759.035,1975.098,1954.261,2078.608,2532.043,2849.217,3331.635,3735.944,4205.97,4727.86,4986.63,4947.301,4958.713,4978.831,5095.533,5162.614,5621.667,6279.37,6574.906,6862.49,7481.868,7846.395,8061.439,8462.088,8749.467,8543.641,8333.23,8358.523,8366.234,8704.806,9010.804,9319.613,9461.532,9355.228,9166.091,9533.742,10492.022,9585.304,11598.187,13636.8,13976.019,14582.475,14920.769,15318.169,15667.954,16009.177,16369.671,16758.871
Benin,977.723,1054.304,1104.351,1089.222,1098.452,1144.369,1162.27,1131.265,1173.279,1150.55,1260.877,1317.341,1345.01,1394.004,1399.217,1483.216,1534.989,1602.976,1634.04,1676.699,1760.126,1838.714,1895.478,1939.412,2017.068,2048.897,2127.926,2248.962,2333.008,2330.878,2338.251,2385.131,2471.972,2616.535,2748.912,2741.566,2777.613,2901.594,2981.233,3215.664,3244.588,3464.289,3843.553,4133.373,4429.499,4719.244,4981.947,5245.272,5510.796,5766.441,6039.088
Bhutan,576.69,698.432,782.075,852.722,927.852,971.135,1036.342,1233.531,1424.117,1533.079,1715.724,1864.079,1972.076,2119.389,2243.219,2442.405,2615.083,2764.555,2891.46,3054.383,3251.328,3454.453,3732.735,4046.938,4316.135,4618.452,4971.131,5591.762,6187.672,6531.171,7181.887,7975.407,8568.742,8908.531,9301.904,9869.184,10615.379,11340.616,11711.311,12374.626,12836.467,12724.453,14194.827,15362.494,16306.384,17721.787,19255.281,20528.651,21887.644,23677.436,25514.216
Bolivia,2430.63,2465,2462.82,2405.596,2436.557,2420.931,2356.906,2424.209,2529.909,2672.966,2842.218,3029.856,3085.519,3201.986,3327.887,3487.11,3633.446,3803.601,3961.585,3957.649,4027.093,4109.113,4198.489,4318.493,4538.187,4802.719,5099.915,5385.408,5730.643,5862.941,6080.516,6426.422,6775.007,7246.56,7658.776,7985.561,8282.807,8658.786,9109.609,9335.527,8426.851,9564.251,10471.893,11037.155,11245.333,11439.02,no data,no data,no data,no data,no data
