"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.6616053,10.29276,8.6155319,10.376334,12.805176,10.99701,10.714256,11.389526,12.250934,13.549454,13.717491,15.763581,17.978458,20.252349,23.264001,22.94835,24.093333,27.846347,27.821205,29.309048,28.554397,29.477984,28.962748,29.889303,25.802189,24.077884,23.514498,26.509827,26.491545,24.667477,25.426532,25.033402,22.129282,19.753499,12.618706,12.770875,11.506376,11.793967,11.216278,10.008939,10.471831,10.21957,10.099424,8.9887116,9.6093973,8.9042411,10.3325,12.295768,11.860502,12.442492,13.146829,13.489007,13.315073,14.073522,14.582733,16.623124,17.548071,19.19466,19.203871,18.999265,20.509861,20.9301,20.757936,21.922222,22.371262
Denmark,no data,88.685887,86.140022,84.186691,84.318676,84.795491,83.393888,82.27325,85.719861,87.282496,91.545109,92.566627,93.052925,98.590301,100.53022,103.65661,109.00562,111.84065,114.26572,117.82643,119.97995,119.21697,121.79101,129.16016,133.56886,135.47321,130.54066,129.78807,128.09372,127.34387,127.46282,125.36066,117.3652,117.65649,121.09857,131.78159,149.77675,159.47323,161.07612,160.67411,161.59217,158.25082,151.29381,152.81237,143.40688,144.14984,146.62102,151.27337,150.67481,150.68019,157.43724,173.18326,170.28091,177.50444,186.28068,205.10358,226.39039,240.21561,250.90464,270.9099,260.25723,266.24484,265.5358,255.33402,258.53963,258.87841,258.80688,252.09092,252.13323,262.444,250.7894,227.91619,217.66571,218.73277,211.30763
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.520599,37.53009,37.590201,36.216703,34.705322,35.171504,32.026501,30.409205,29.085287,27.55284,27.19545,30.407623,31.482281,30.654746,32.790405,20.369055,22.635285,18.657147,17.219988,15.936306,15.02611,14.287412,14.366178,16.036914,17.597892,21.593937,24.208566,22.0085,20.595686,22.146474,22.137113,21.702846,19.739921,21.172754,21.633237,22.351483,21.153639,18.596858,19.834329,21.71893,22.532966
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.119544,27.004688,20.877302,22.214356,24.744207,25.323977,27.290811,27.92187,29.682127,27.591229,27.593682,23.608987,22.824779,27.863356,34.307479,38.821008,39.508683,41.773392,43.681143,43.776372,46.496012,45.425194,47.226475,47.095565,46.862889,50.43349,47.855449,48.168852,45.377322,45.454802,48.586222,50.414862,49.120483,48.956462,48.916521,53.102608,55.614997,59.116134,57.621005,53.674742,51.306242,46.945855,51.009523,47.170534,40.408382,53.243547,50.060031,47.049892,42.112721,38.944854
Dominican Republic,3.7970254,4.2241463,4.2506678,5.1836565,5.6472948,8.0214345,6.4426623,8.0782726,9.3200314,8.9608404,4.6948801,3.8937207,5.754779,5.3523757,6.124004,6.5891243,6.1334045,6.3708035,9.1386156,10.82606,10.002847,17.313661,17.393796,18.954661,22.091855,21.629207,23.401119,23.174802,24.794239,25.382715,24.9419,23.602077,26.669191,26.48027,23.356913,21.572541,25.868576,26.322574,23.048232,25.838301,22.511152,17.084765,18.882842,19.283949,19.711927,19.861375,22.064969,23.283432,24.505347,28.144386,31.193136,33.741735,37.303724,36.837276,23.478745,20.378225,22.094983,18.18434,24.054866,25.850493,27.035127,27.514647,27.960201,28.489524,29.503343,30.746697,31.876563,32.233986,32.231956,31.910443,34.368372,31.593983,30.622954,33.810695,35.491355
Ecuador,15.877953,15.026948,15.356355,18.034244,19.332388,20.56688,22.031178,22.837139,24.12078,24.836811,24.842361,20.562548,19.758507,19.012654,19.434546,18.384789,17.239252,18.155259,19.50684,19.236904,13.72328,14.272759,13.978748,13.269148,12.929252,14.689601,15.25165,15.293945,15.648309,15.29135,12.809116,15.568362,15.551061,18.091515,18.553237,14.302296,16.146271,14.97866,10.217232,9.7115527,10.738939,10.821075,11.387854,15.879367,21.317321,22.750514,23.579703,26.007114,23.533848,24.56822,28.154142,27.973912,22.248521,20.13735,22.130578,23.717391,23.786389,25.84159,25.17656,25.310698,27.198398,27.207627,27.106945,27.874545,29.157148,36.445218,40.408621,41.390061,43.044339,46.60094,53.250724,53.00331,55.066216,56.60671,58.678115
Egypt,12.129616,11.847702,12.076722,11.500973,14.031155,13.579008,14.165087,14.382038,15.607261,16.841389,16.106208,16.078801,16.03229,16.582037,16.281455,14.181534,11.477535,10.596244,11.878232,12.037103,10.929866,11.054677,10.628491,9.9698889,12.241156,14.644658,16.121431,17.645599,17.241284,18.050227,13.089954,23.318157,25.779893,26.135563,28.00604,29.414603,33.749716,27.240517,26.522278,25.076063,23.988875,21.038596,20.995176,22.136307,26.305805,30.85938,34.062862,37.715961,42.870422,47.96855,48.05039,50.475099,51.065642,50.808755,51.329157,47.383672,45.789809,43.673148,42.329543,35.108463,30.524454,29.344711,25.050675,24.577344,24.159806,24.664302,31.293093,26.279346,24.994389,22.319496,25.641179,28.137717,31.684165,30.872923,27.231971
El Salvador,8.5115662,8.2268427,8.5811317,8.4232642,10.026868,12.376497,14.387101,15.948408,15.812118,17.581693,19.183606,17.121104,15.193103,15.798675,16.906198,16.897204,17.149945,16.346975,15.716011,16.843389,17.137933,18.17766,19.077909,21.555647,20.43752,17.103736,18.399385,18.920687,20.488723,20.324614,20.57594,24.646499,28.468838,32.906521,48.548303,64.493288,39.644975,42.42297,41.242077,39.314548,15.945722,17.048499,18.998083,21.182357,30.896418,35.188149,40.089789,46.924854,46.454592,49.228924,51.382209,46.835722,49.648296,49.318648,49.836516,53.316504,53.431611,56.658074,54.097979,49.094538,46.961981,42.377589,45.296988,48.380407,49.959724,51.203206,53.569741,56.47269,57.889854,57.798824,64.566409,58.301064,57.732976,55.556322,55.852615
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.540702,25.748807,25.583634,34.681016,22.893197,22.387502,23.069898,24.410252,26.383693,25.836388,26.854425,26.600798,20.089178,24.903098,18.876523,15.507733,12.450091,12.082574,15.751589,12.653505,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.533419,26.21858,30.52252,34.232238,39.986739,52.547447,66.027766,68.740071,72.846115,80.885175,89.349841,96.431577,105.67486,110.57208,130.58427,136.6381,148.22383,159.81274,148.58402,132.99179,128.20459,125.27846,126.0023,123.10854,120.61358,115.15813,112.40207,112.64376,120.17001,112.82181,111.00355,117.60726,122.75273
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.5205553,0.44541761,0.43222808,2.6637299,2.9916527,2.9061425,3.4046949,3.3875141,3.7609654,4.0867269,4.8216691,4.94367,5.2049767,5.2481988,5.46239,4.6742767,4.321751,4.6276202,5.598066,2.8632447,1.8892209,2.3521573,2.3416274,2.1069484,2.0827312,1.8399783,1.7788997,2.2886483,1.6503593,1.5843515,1.5675831,1.425241,2.0525192,3.4587784,4.7966329,7.4753907,11.542155,13.835392,15.620625,18.756126,17.632151,17.777182,17.978063,17.496346,16.510124,18.849248,20.443528,18.523397,17.649856,13.060316,14.420205,16.65678,15.484009,16.651977,17.413582,17.859067,17.811616,18.338519,20.196907,21.11835,21.253799,19.595329,18.733265,15.764071,no data
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.896894,82.689186,84.572011,84.680004,81.432293,82.93489,84.205675,89.587661,89.654897,87.949776,87.533401,89.436657,93.574747,94.599289,95.34749,99.36862,102.33822,108.58733,115.00769,116.03184,128.85097,141.74634,163.60956,145.55659,136.92386,118.55689,115.36915,116.64891,108.69959,112.36445,121.79403,117.40093,119.52843,125.40174,128.94211,133.9554,140.00787,144.81688,156.13761,165.22629,167.16982,168.51787,172.10422,176.9402,183.44126,190.57624,180.97368,188.13383,187.10808,184.68208,192.60535,190.66022,188.30556,182.93949,180.7084
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.168167,97.519737,101.61846,108.03453,109.36245,108.48621,109.32617,107.15709,107.19099,104.24137,102.83315,103.63621,103.35559,104.75252,107.24945,108.93107,108.87173,105.70925,109.86371,115.43304,120.68473,127.92462,132.32511,136.73691,141.19501,136.24369,134.02903,131.49625,131.45528,129.51272,135.17985,139.79941,145.1383,145.5195,144.8636,147.29717,151.16001,155.59249,159.56382,166.46035,173.83208,173.79973,180.48228,185.10827,183.03107,189.56783,194.80813,198.88696,201.74309,206.37851,212.29632,239.64338,227.46966,225.566,217.35285,215.45119
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3465257,8.0513441,7.1635831,7.6672223,7.7615871,7.1172806,7.4705663,6.5953664,4.6127642,6.4133065,6.1449647,4.4486242,5.8685907,6.3568794,8.7925556,8.0670139,9.4444839,9.1417775,8.2188453,9.4685033,10.67333,11.323109,7.3889641,5.165984,5.3154707,4.9648008,4.6752862,4.5261064,3.0549547,4.5208022,4.6251852,3.9458237,3.6778084,4.241214,4.5584371,5.0092896,5.0514792,5.5527425,6.7938784,6.6890113,4.9324141,5.7468139,7.1088844,7.4278411,8.5931736,9.0484344,9.3828238,10.251527,9.8661674,9.7774168,8.5750905,no data,no data,5.4431293,6.4483279,7.65681,7.5849325,8.3626853,9.1756237,8.5204939,no data
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.140725,6.2385621,4.4897438,5.9073438,7.9556229,8.5994282,8.3364865,9.1122618,11.291242,10.228252,16.977383,22.695513,31.457733,37.32419,34.689833,33.980215,44.838882,40.004497,44.260359,60.881101,52.968965,60.28778,59.85523,63.556892,69.717044,84.215542,78.295454,65.777732,67.399494,69.999831
Germany,34.649343,36.529517,41.638071,48.564491,55.998098,59.688823,61.581002,62.652234,65.455448,71.059532,70.217473,74.271158,77.38628,81.806537,83.500111,85.466164,87.037632,91.512955,94.95537,97.861513,96.502725,98.557542,102.61446,103.95797,105.00601,107.24222,106.79678,108.75654,110.15422,112.33515,116.62904,121.22762,123.84984,125.17361,126.03731,126.39087,123.40695,123.48345,122.82735,123.15437,121.57596,111.3399,111.42518,119.50465,120.26643,119.36724,124.38711,127.66818,131.78899,136.14806,147.75119,149.26191,151.815,152.75262,144.33089,145.45304,146.02231,142.11359,143.12776,146.41625,141.39993,137.7406,136.96705,138.77542,132.55848,132.60331,134.40223,134.14417,135.08433,137.9141,148.42299,147.273,147.08135,140.7357,139.41174
Ghana,no data,no data,no data,no data,no data,0.597794,0.69685851,0.63237029,0.65700341,0.94580292,1.1729887,1.4979924,1.5749753,3.2019137,2.8490903,3.2295134,2.9256305,2.9224191,3.2920371,3.6275391,3.3354782,5.0805129,4.0794023,2.1589778,2.2932341,2.3367511,2.3123528,2.0274933,1.4227269,1.1385615,0.8859288,0.79590199,0.80099152,0.65352451,0.92578695,1.2319376,1.3829176,1.2096241,1.2058365,2.2423794,1.8321958,1.3605392,1.7994198,1.9922516,2.1340523,2.0953496,2.5099458,3.3258869,3.7261445,5.0085218,5.5882602,4.7608264,4.8591525,5.0109517,5.246529,6.2145572,7.2251086,9.7776692,8.6688242,12.273713,11.222333,12.005175,12.622579,14.486547,15.583761,16.991691,16.428357,15.046268,12.71106,12.976171,12.079544,12.017194,11.266712,8.6461182,no data
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.575095,24.889915,27.64824,29.302266,29.328899,27.819732,28.524918,31.234071,32.341983,34.011081,36.793295,40.44691,43.423142,39.261953,41.452119,42.903808,43.341052,46.366151,46.7911,44.705389,45.656825,49.244591,49.052671,49.273912,48.275686,47.168824,44.919566,44.23654,41.359616,42.39616,39.78123,37.139215,36.92456,35.196742,35.791503,36.451228,37.344992,39.63192,43.146122,46.902882,56.079118,63.126574,66.825968,71.001631,76.139778,88.383732,94.893628,103.69291,115.35742,118.80886,129.97779,133.07532,137.08289,134.7924,133.65116,130.2231,127.62356,120.76661,119.05942,109.95231,124.03941,120.54313,99.810348,93.468871,94.552252
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,95.596225,92.486038,87.308879,74.506757,53.358597,41.953776,30.440828,29.951548,27.578377,25.133694,24.1579,24.052392,23.265619,21.40304,20.681274,24.216663,30.022508,32.511498,33.330304,37.821774,36.057373,35.406933,37.617473,49.449605,47.23183,47.331984,49.993338,55.524171,56.869695,59.001944,62.558115,63.080487,61.432234,58.464734,61.617994,57.966498,64.876729,68.79338,70.076901,79.377269,83.97994,84.876021,82.804814,74.25666,65.206336,57.321429,53.722784,51.066906,50.645703,49.547065,59.320107,57.225243,53.291145,51.430979,54.06595
Guatemala,5.0692806,5.572029,5.630875,6.1073348,7.3924977,7.6887886,8.0205234,9.7124284,11.245572,10.558069,11.210907,11.681174,11.387847,11.810089,13.180012,14.242117,14.69843,15.716078,15.136961,15.229175,14.11785,14.069828,14.399163,13.24108,14.078053,13.933754,13.642821,14.03439,15.900251,16.810153,18.04398,18.536711,19.604653,21.376398,22.740697,21.234076,16.505819,18.370224,18.108229,17.292965,15.767715,13.364306,16.218948,15.637223,16.987616,21.913616,23.242539,24.429818,25.868149,26.996836,27.954704,28.956054,25.558215,29.358317,29.737907,29.887327,32.791319,35.970873,35.785079,35.284225,34.242252,35.798619,37.783359,37.906177,39.515805,42.130487,42.012437,41.508787,41.89616,40.288937,41.818009,41.293939,41.85758,42.337609,43.963425
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6542421,2.9250547,2.5106417,2.5832722,2.9895319,3.1413504,3.5604948,3.527481,3.2244336,2.527486,2.6838811,2.8826398,2.8300704,2.7079468,2.7063728,2.4618551,2.8868908,3.7647278,2.7999363,2.7663788,2.6272763,3.92619,6.7955716,5.6198791,6.6943055,9.1316941,10.775251,9.564868,8.8094467,9.2520391,9.8661983,9.7587782,8.7985569,no data,no data,no data
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.26654457,0.21444916,0.20917836,0.40850908,0.60152438,0.31295074,0.3682026,0.49003469,0.737912,0.72127201,1.1381481,0.38307701,no data,0.63690109,0.84416368,1.2240924,1.911004,2.9634874,4.8597684,4.1122944,6.0572111,8.1610766,11.721133,11.415393,12.9011,7.3342924,6.5771898,11.280824,13.381014,13.800578,14.748505,14.296797,15.35795,12.652027,10.421924
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.6092757,5.4258386,5.0670053,6.2151214,5.8675532,5.0164516,6.5002883,6.6989341,8.4478216,9.5705892,10.638312,10.949492,10.966965,11.999685,10.241347,9.6288292,9.0713417,8.8805523,8.7820573,10.795807,11.714131,14.12521,17.968679,20.718243,20.948065,19.686604,21.82575,14.788141,20.196836,11.728393,12.319979,7.9820579,8.7229828,8.6479826,9.2142396,12.135955,18.550928,21.437567,25.116093,23.361642,24.017266,24.97932,24.791721,20.90005,19.504844,20.080876,20.827669,20.192205,21.110753,21.837784,22.890137,23.526214,23.134087,25.819729,28.449369,28.987244,28.180715,27.166754,27.867499,27.740891,26.918341,20.010499,12.500714,12.658466,10.377752
Haiti,no data,no data,no data,no data,no data,0.23009485,0.36117219,0.5047779,0.58469438,0.62752081,0.74249123,0.81178392,0.77007098,0.86277159,0.8859218,1.2722867,1.2923964,1.6001994,1.3805826,1.5409497,1.7767359,1.6243493,2.0388385,3.005492,4.124849,4.4888849,4.8202844,5.362563,6.3345559,6.3849373,5.9946452,6.2264417,6.0800968,5.718292,5.4603558,4.9821489,4.4868163,8.6837578,17.253879,22.438295,21.11456,20.256458,23.399102,18.537327,7.2151658,7.2269999,7.2462461,8.9283973,7.9880169,8.1375242,8.7496305,8.03666,9.7304764,9.7928646,7.9316768,8.2729061,7.9954195,7.2708532,8.0881284,7.7493233,7.2683423,8.0267207,10.314724,10.27611,10.8601,10.226918,9.9962356,9.4064235,10.717749,10.091137,8.159547,8.0102989,8.0004808,4.9647508,3.7891692
Honduras,2.9772059,2.5195771,3.1611897,3.4682998,3.9724143,4.3853384,4.6652972,5.2582236,4.8513265,5.0870421,5.3190261,5.4396759,5.4787271,5.7529483,6.1795773,7.1171662,8.3698407,9.7794647,10.241451,12.351775,13.140352,13.348195,13.584818,15.141259,15.419106,17.598119,18.262537,18.886846,19.028754,18.82518,18.267731,19.292364,20.39115,21.553193,21.55525,22.582661,22.708937,23.954658,22.63519,21.420363,18.759379,16.945826,19.222416,18.660144,19.176688,17.689954,19.830217,25.749121,30.275656,33.926576,33.489662,35.625705,34.948221,35.470263,36.449587,37.529694,43.363028,50.881048,49.87299,48.838375,46.469137,46.719655,50.75876,54.226282,54.585189,54.148261,56.712458,56.730409,61.296898,62.952008,68.974692,65.494002,68.373913,73.832691,76.316834
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.847287,100.41352,109.11154,126.40212,144.08459,146.66608,130.25169,128.89148,131.59837,132.60777,137.92034,156.26203,166.4702,151.12487,142.85164,145.62453,146.4443,157.62284,165.16323,175.31213,174.64043,166.06405,162.87734,161.88055,161.00922,168.72144,169.76003,173.72131,176.06435,187.07332,191.95444,194.55837,225.00867,237.56171,238.73737,264.27783,283.78247,297.48124,306.45728,343.35123,335.30104,349.45463,383.94846,368.49643,373.34574,362.5026,328.02669
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.408792,39.115086,43.492548,43.295775,43.896039,49.208773,50.239683,54.490437,57.391217,62.632838,64.941846,66.084396,66.073048,67.37824,69.440245,70.290238,71.508451,74.233357,75.024854,70.53569,66.648463,65.194524,55.943458,48.551307,47.356546,49.502069,44.860471,48.237143,49.985164,49.447261,53.156397,59.950034,61.921274,61.457527,71.854334,77.369994,87.992422,93.497824,108.5445,117.60327,129.27775,126.1538,126.38043,116.08689,108.41621,105.11453,95.114781,90.042488,83.77768,82.120276,82.231166,91.074297,101.60552,101.12326,90.38066,89.71646
Iceland,no data,105.67634,107.89305,107.898,110.7921,117.62507,110.93986,117.13273,120.3075,125.47339,116.26392,110.88863,104.28918,100.26903,77.506492,81.23198,79.191465,89.955765,95.399216,84.047564,77.588324,74.025018,71.067629,67.699601,73.341802,72.607528,67.566369,66.045132,67.454217,68.400315,83.531218,82.935983,104.56174,109.1333,115.98806,114.85821,101.03933,101.39299,110.22391,118.39729,114.67481,121.08891,134.78406,141.89675,138.38964,140.1888,146.18684,152.76847,160.17706,181.04534,199.43106,208.85667,202.56457,238.57126,256.61378,320.64852,424.1073,554.48696,617.02527,677.70874,507.54233,455.80946,384.48688,331.90738,326.74419,282.77394,251.69714,216.70571,196.76856,213.42378,224.17248,228.64659,213.80278,195.90245,no data
India,no data,16.814022,16.752845,16.203127,18.649235,19.907652,18.87129,20.477868,20.375366,22.423418,22.792877,22.458604,23.031454,24.829811,22.281038,23.637467,23.455196,20.870853,21.61541,22.670944,24.074754,25.688547,26.482896,27.211035,26.311413,29.96268,35.833351,35.801577,39.711369,42.82203,41.93914,43.375159,46.470713,46.462834,48.988501,48.987312,50.039357,50.195844,52.556666,53.093841,52.123917,48.796545,51.169798,48.556251,47.644219,49.485808,48.324823,49.039546,49.589855,52.805151,57.474071,58.648214,64.643442,64.187729,70.705859,79.123594,86.867624,92.248725,101.56975,96.803374,103.03731,105.14208,104.10876,95.079726,98.223543,94.373204,85.434245,97.890766,91.812868,86.243566,93.461507,87.420199,86.401956,88.707661,90.550387
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.9091717,11.204237,14.413133,15.07936,17.26531,19.699317,22.764402,24.261847,28.874376,35.923289,50.107396,49.781398,48.194499,51.845776,55.005264,56.69557,59.897305,66.90362,73.302445,33.468606,30.446984,27.556907,25.720423,25.750345,27.423484,27.720569,26.071445,26.38979,26.959143,26.773149,27.661411,30.695958,34.957753,38.758986,40.343718,41.852503,40.739193,40.464575,41.468771,40.913373,42.819308,40.483787,38.408699,38.693891,38.159668
Iran,no data,no data,no data,no data,no data,2.7130397,1.9731433,2.8525067,4.3169314,6.137332,no data,15.543552,14.195452,16.246489,18.0012,17.434553,18.761562,19.455835,20.662831,21.055347,22.833203,21.470438,22.266485,21.594333,16.774103,22.823634,23.652194,23.419449,no data,28.387437,32.013631,28.360353,22.727742,21.690638,20.144813,21.31941,25.247785,23.848015,23.674806,24.88875,24.77967,23.96327,24.709487,22.644186,21.684075,18.012559,16.309372,17.039364,18.776884,18.733842,26.138133,30.12958,30.552307,34.296813,38.870876,41.968335,47.243752,48.575027,45.434468,48.458483,50.634735,50.445805,51.13751,46.033272,50.106299,56.687974,60.527531,60.848693,56.060489,52.947007,52.390623,48.421041,43.671622,43.249261,39.667056
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.1213596,1.2306006,1.652808,2.0308369,2.256844,3.5798577,5.2905378,5.233974,5.9139142,6.3510453,6.7601189,9.2281564,9.5845518,8.7013751,7.3897236,7.5326746,11.954336,9.8933405,8.3549194,11.221683,12.297981
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.852245,75.125684,78.196869,84.565307,81.200412,75.344886,72.018552,77.002658,77.041873,80.56533,82.299846,77.694197,80.110719,78.643697,78.373951,76.891938,78.621327,77.203127,72.907854,78.239679,84.523786,87.939769,90.92138,88.885251,88.387703,87.713645,97.018732,106.35576,128.15144,128.32362,134.52891,132.57695,141.41932,159.10444,176.66612,213.82844,227.11422,283.08602,303.12529,309.95127,312.00138,310.6431,282.53372,277.88855,305.76934,301.70815,277.22511,271.05798,233.2052,214.63059,180.42216,162.26523,159.70052,149.66594
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.356748,81.374534,85.415021,87.981438,90.312797,94.681192,102.15893,106.51246,106.65441,115.20221,119.81049,116.23269,115.90837,121.02165,121.24053,125.9759,120.09259,121.05185,120.69153,118.04857,115.63687,111.71724,109.78047,108.85731,109.90208,109.37321,109.6369,109.02535,113.04144,114.89019,113.27983,110.95107,111.80799
Italy,23.293832,24.241072,28.475617,30.944898,34.224541,36.369089,39.082179,40.617177,41.881145,45.258356,47.300044,51.066804,55.529372,59.074727,58.60355,60.036061,62.473235,64.690487,66.81585,68.661315,68.470822,72.282024,75.610892,72.858376,68.429606,69.547808,63.064451,59.453489,53.88463,51.322275,49.253506,48.835573,46.858207,45.527538,48.824309,48.885231,48.870878,49.758487,51.874091,55.038245,58.671528,60.766496,64.16918,64.588333,61.686482,68.602956,66.753583,66.537667,67.253272,74.600229,78.425283,81.782836,84.247556,87.97687,91.779502,97.472305,103.57538,111.35965,114.9418,123.34255,124.01739,123.01,125.11858,123.01041,121.1872,117.15636,113.37673,110.76249,108.99989,107.96045,120.52224,112.8158,105.71441,98.576939,95.317586
Jamaica,no data,no data,no data,29.836976,23.890017,25.084721,21.718507,26.88228,32.885096,37.894541,39.730919,41.139939,37.708673,34.422753,40.979373,45.958782,46.871929,47.055089,50.307595,64.853374,61.301902,65.794931,72.936166,79.73666,80.66039,77.533954,74.075423,60.448172,55.670252,59.814502,61.025669,75.568387,90.301098,93.581946,83.164192,74.1838,79.1227,96.041712,107.57073,120.9367,87.562465,78.280867,53.400238,58.912996,55.302449,60.257537,55.827143,49.875366,57.387845,57.306703,64.136819,35.144023,41.053695,49.800053,58.351521,52.194986,63.552385,70.939995,70.029986,58.286519,59.753698,61.947983,72.849671,89.146108,94.446758,97.372638,96.504406,91.285791,87.041452,93.623825,97.211928,83.01712,69.611442,60.052377,58.137659
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,109.7508,116.84308,117.4509,118.16337,115.91804,117.6375,117.76709,130.77902,139.43009,137.7652,131.65803,136.32758,137.42663,136.00722,135.09095,137.39367,139.89206,143.36957,149.1503,155.6806,159.37927,161.99666,168.27292,183.56163,190.00494,200.92232,207.5259,206.19433,208.5792,213.54825,214.21084,212.48351,208.53455,206.299,199.2819,196.46577,187.62008,182.87096,179.08443,171.11041,163.97311,163.5568,162.60016,160.41713,165.5201,172.00345,163.194,163.43482,161.59302,160.39161,158.50929,154.44812,156.50803,157.06619,160.41524,165.87012,184.76185,185.38318,187.31111,182.5992,181.38984
Jordan,no data,no data,no data,no data,12.61561,17.771842,14.272522,17.247574,15.267494,17.578044,18.6782,19.83515,20.297111,25.160594,22.533791,21.718172,23.403331,19.888698,20.241238,19.896307,20.986679,20.270475,19.395436,22.84426,27.309064,31.180898,35.364534,32.190249,42.185986,50.185498,51.634667,52.874938,56.731683,61.738873,65.914954,67.251476,64.013306,65.555694,69.077187,71.652778,69.021459,69.114002,61.272377,66.6258,70.494538,75.531784,75.931386,76.135453,73.809688,75.740583,75.759352,78.837666,74.153963,72.143568,75.538319,88.468168,91.442431,92.637081,82.837836,84.059479,80.767973,80.376297,79.105544,80.074979,76.793995,75.839672,83.220708,77.5,78.5,78.4,83,84,88.1,82.6,no data
