"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.7541363,1.3582207,2.0613236,3.2779534,3.2009494,3.7097106,4.218953,5.0883903,5.3684555,6.7674299,8.8634892,9.8254928,9.6178666,9.9989295,10.924019,12.110822,12.175565,11.637748,10.633055,11.180411,11.894532,15.264936,15.78744,16.684537,17.110282,17.262661,17.941499,19.917587,21.591226,21.448943,23.003252,24.234076,25.714662,26.439207,28.029176,29.77365,33.494389,34.678943,35.10688,34.03751,35.727382,36.323599,37.153704,39.526969,39.295599,38.378581,38.440188,38.267164,38.177746,36.915343,35.135316
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,263.16717,241.83225,233.98286,276.3221,268.47433,300.64874,215.78869,163.66265,168.0661,154.62012,110.73528,100.32156,no data
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.471884,78.400226,80.276655,81.999957,79.00444,82.208448,83.890905,88.796615,93.344053,99.193124,88.081418,91.250296,89.762612,87.773759,83.915209,80.893889,79.927425,81.982972,86.007968,92.039333,93.179819,96.406901,106.26763,110.25411,110.92662,106.37037,110.44576,117.55726,123.74519,136.2716,146.20284,152.16638,149.18666,155.66232,158.52503,156.85999,159.07317,170.08751,192.09394,200.69449,189.3988,198.19642,203.20027,204.15289,204.42934,207.77209,228.714,216.57052,211.0731,211.59901,220.97315,206.97933,191.02058,183.30494,179.82911
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.3403357,1.5052157,1.8440892,1.8606442,1.8290637,1.5701803,1.3785166,1.4140162,1.4130857,1.7281862,1.8778936,2.0676555,2.229196,2.4936852,3.0453902,8.77139,7.6879167,7.7566897,8.3437119,10.009433,11.588392,13.727734,17.150983,16.484301,12.97363,15.059548,13.9467,12.929833,13.842082,10.498742,9.8846815,7.9499444,6.0330593,5.4336373,4.3680921,3.8388024,4.3810195,2.7984744,3.5725638,5.0443215,5.4815691,5.0720985,4.7917066,7.6302793,7.6770309,8.931851,10.22123,12.19121,12.618077,14.965521,15.690434,16.417279,15.501321,16.317198,16.603257,16.614961,17.373534,16.483229,16.688286,17.547611,15.483432,15.323557,17.059308,18.572445,19.153398
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.5631194,2.9509382,2.5094084,2.6454644,2.5987072,2.9751051,4.2382963,4.10072,5.1701771,6.4470216,6.5990302,8.5248306,7.5591189,6.5651724,11.064213,9.3844948,8.1607165,8.5870685,9.7370663,11.433625,13.043723,15.792815,18.29381,21.551354,24.440024,29.986332,32.565113,41.950759,46.610278,45.017251,43.81587,43.365583,44.53986,46.761927,49.817254,56.086041,61.918214,65.624658,68.79003,71.490896,74.505736,55.925005
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.4134361,11.097176,15.3236,17.982646,18.130414,16.211635,12.855631,11.236734,10.485552,14.662287,11.371773,10.946403,11.088185,7.432776,7.6408966,6.8420024,5.4027055,6.5920436,9.2956764,11.747077,14.548332,14.093484,13.858185,11.589993,10.323949,9.7147509,12.985451,13.943724,14.764804,16.400061,19.583541,20.299427,21.658133,20.416266,21.240537,23.856277,26.127994,27.998448,25.716602,27.508096,34.151872,34.626469,34.229462,38.874501,35.68616,37.132181,37.744474,38.590496,41.926149,35.706563,31.66153,32.166465,35.315721
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,153.14436,85.888512,51.464464,44.824355,47.698377,49.305383,48.670741,47.248796,49.300326,52.813564,48.377107,45.04426,46.482375,50.002905,47.716636,55.517504,57.916364,58.936546,62.286542,66.665919,70.695918,74.364163,81.831409,74.357614,72.435779,74.427771,76.98904,86.44195,84.872231,86.053004,85.461464,93.464231
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.009869,46.115843,40.93312,30.343544,30.963951,52.031444,10.865706,12.394162,19.364343,27.493451,31.371213,37.55117,48.206897,64.586802,81.771495,104.10432,134.66949,150.48626,149.67342,144.9953,136.09616,135.05249,137.85821,138.21818,118.33444,113.00507,107.49923,106.37032,101.88982,99.850264,91.829796,80.197715,79.716732,79.919213
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.7476809,1.46596,1.5171423,1.7072066,1.8925372,1.9177622,1.5432372,1.6765574,1.8301686,2.1937711,1.940564,2.0379833,3.2017089,3.964199,5.6770595,6.8051128,11.180348,12.395675,13.258217,11.553961,10.613529,10.50523,10.534291,10.309961,9.834618,10.598224,11.059851,11.620563,11.918489,13.214422,13.584082,9.9404213,8.6592364,7.8458527,5.5698432,5.3925229,5.5102902,9.2651733,8.8669808,8.155606,9.4142591,9.6774264,8.8249278,11.327834,12.842402,13.195216,14.578622,12.699233,14.981663,15.980893,15.480021,15.248813,16.493135,20.681748,23.277088,24.911036,25.681541,27.320977,27.050058,28.178765,28.476608,29.359881,30.097696,30.238853,26.144527
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.731709,2.4659744,2.3220422,3.0368107,2.9835638,2.0550048,3.4330592,3.7303919,4.0904833,4.3486146,8.0533728,2.6337242,3.5154062,3.0624867,6.4394008,7.7498594,6.1334967,8.8691496,7.4058045,6.3414626,3.553949,3.1962843,3.990481,3.8776237,5.4276687,6.3472265,7.9636819,9.9654045,9.9313944,13.001306,13.667867,10.958394,12.807766,10.823983,12.42381,13.343871,16.133897,15.144891,18.666065,18.652728,15.858068,13.132414,14.667173,13.943455,12.801759,13.87117,17.295433,20.613335,19.339773,18.267638,18.474869,15.838272,16.541458,14.709776,17.215785,19.74045,22.577719,34.153715,41.27969,38.982832,no data
