country_id_alp3,country_name,hdp,hdp_na_obyvatele,hdp_mezirocni_rust_procentualne,inflace_index_spotrebitelskych_cen_mezirocne,statni_dluh_centralni_vlady_procento_hdp,zadluzeni_soukromeho_sektoru_procento_hdp,pristup_k_elektrine_procento_obyvatel
tur,Turecko,719919000000,8610,1.8,12.3,35.920159,89.130229,100
uga,Uganda,38141000000,925,-0.8,2.8,44.096894,12.628446,41.3
ukr,Ukrajina,155300000000,3741,-4,2.7,60.878302,56.238837,100
gbr,Spojené království,2709678000000,40394,-9.8,0.9,103.49894,170.34974,100
usa,Spojené státy americké,20893750000000,63358,-3.4,1.2,119.00868,164.37518,100
ury,Uruguay,56577000000,16023,-5.9,9.8,58.078448,32.638082,99.9
vut,Vanuatu,932000000,3090,-6.8,5.7,48.667573,61.005709,64.6662368774414
vnm,Vietnam,343114000000,3523,2.9,3.2,43.685271,116.65741,99.4
zmb,Zambie,19319000000,1023,-3,15.7,128.70214,11.434005,43
zwe,Zimbabwe,21924000000,1443,-4.1,557.2,86.146514,6.9459276,41.0891075134277
