,Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
52,Egypt,3.4,2.2,7.3,8.9,8,7.4,4.8,4.3,4,3,2.3,2.1,0.3,2.9,4.2,4.5,4.9,5.9,7.5,6.1,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,3.3,2.9,4.4,4.3,4.1,5.3,5.6,3.6,3.3,5.2,5.6,5.7,5.8,5.8
53,El Salvador,-8.6,-5.7,-6.3,1.5,1.3,0.6,0.2,2.5,1.9,1,4.8,1.5,7,5.8,4.7,4.7,0.8,3.1,2.7,2.2,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,2.2,1.7,2.4,2.5,2.3,2.4,2.6,-7.9,9,3.5,2.3,2.2,2,1.8
54,Equatorial Guinea,4.8,5.8,2.2,5,1,12.9,-2.3,4.4,2.7,-1.2,2.5,-1.2,33,10.5,16.8,26.5,52.7,148,24.8,26.4,110.5,60,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-6,-4.9,4.1,-5.6,-1.5,-1,-2.8,-2.1
55,Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.9,20.9,2.3,9.1,7.9,2,0.2,-12.4,8.8,3,-2.7,1.5,2.6,-1,1.4,-19.4,12.2,10.9,25.7,1.9,-10.5,30.9,-20.6,7.4,-10,13,3.8,-0.6,2.9,4.8,3.8,3.8,3.9,3.9
56,Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.6,2.2,4.9,13.1,4.3,-0.4,10.1,6,6.8,7.6,6.8,9.5,9.8,7.6,-5.1,-14.6,2.4,7.3,3.2,1.5,3,1.9,3.2,5.8,4.1,4.1,-3,8.5,4.2,3.7,3.4,3.2,3.2
57,Eswatini,-3.8,6.9,1.4,-0.5,2.5,1.9,18.6,10,7.6,9.4,9.9,1.8,3.2,3.1,2.4,4.8,3.8,3.1,2.6,3,1.8,1.1,4.4,3.9,3.6,6,6,4.4,0.8,1.6,3.8,2.2,5.4,3.9,0.9,2.2,1.1,2,2.4,2.2,-2.4,1.5,1.7,1.8,2,2.1,2.2
58,Ethiopia,4,0,1,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.5,2.8,-4.2,6.3,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.2,7.7,9,6.1,2,no data,no data,no data,no data,no data
59,Fiji,-1.7,6,-1.1,-4.2,10.1,-3.8,6.6,-7.2,3.5,13.9,5.8,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1,-1.4,3,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.4,-15.7,-4,6.2,8.3,6.4,4.5,3.4
60,Finland,5.7,1.3,3.1,3.1,3.2,3.5,2.7,3.6,5.2,5.1,0.2,-5.9,-3.3,-0.7,4,4.2,3.7,6.3,5.5,4.4,5.8,2.6,1.7,2,4,2.8,4,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.3,-2.9,3,3,1.5,1.3,1.3,1.3
61,France,1.8,1.1,2.4,1.3,1.7,1.6,2.3,2.6,4.6,4.5,3,0.9,1.5,-0.6,2.3,2.2,1.4,2.3,3.6,3.3,4.1,2,1.1,0.8,2.6,1.7,2.6,2.4,0.1,-2.8,1.8,2.2,0.4,0.6,1,1,1,2.4,1.8,1.8,-8,6.3,3.9,1.8,1.5,1.4,1.4
